id,tag,text
1,"[1, 'label']",35
2,"[2, 's1', 'heading']",God Blesses and Renames Jacob
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']","God said to Jacob, “Arise, go up to"
5,"[5, 'p1', 'verse', 'v1', 'note', 'x']",#ch.28:19
6,"[6, 'p1', 'verse', 'v1', 'content']",Bethel and dwell there. Make an altar there to the God who appeared to you
7,"[7, 'p1', 'verse', 'v1', 'note', 'x']",#ch.27:43
8,"[8, 'p1', 'verse', 'v1', 'content']",when you fled from your brother Esau.”
9,"['v001_ESV_GEN_035', 9, 'p1', 'verse', 'v1', 'plain_text']","1 God said to Jacob, “Arise, go up to Bethel and dwell there. Make an altar there to the God who appeared to you when you fled from your brother Esau.”"
10,"[10, 'p1', 'verse', 'v2', 'label']",2
11,"[11, 'p1', 'verse', 'v2', 'content']",So Jacob said to his
12,"[12, 'p1', 'verse', 'v2', 'note', 'x']",#ch.18:19;Josh. 24:15
13,"[13, 'p1', 'verse', 'v2', 'content']","household and to all who were with him, “Put away"
14,"[14, 'p1', 'verse', 'v2', 'note', 'x']",#[ch.31:19;Josh. 24:23;1 Sam. 7:3]
15,"[15, 'p1', 'verse', 'v2', 'content']",the foreign gods that are among you and
16,"[16, 'p1', 'verse', 'v2', 'note', 'x']",#Ex. 19:10
17,"[17, 'p1', 'verse', 'v2', 'content']",purify yourselves and change your garments.
18,"['v002_ESV_GEN_035', 18, 'p1', 'verse', 'v2', 'plain_text']","2 So Jacob said to his household and to all who were with him, “Put away the foreign gods that are among you and purify yourselves and change your garments."
19,"[19, 'p1', 'verse', 'v3', 'label']",3
20,"[20, 'p1', 'verse', 'v3', 'content']","Then let us arise and go up to Bethel, so that I may make there an altar to the God"
21,"[21, 'p1', 'verse', 'v3', 'note', 'x']","#ch.32:7,24"
22,"[22, 'p1', 'verse', 'v3', 'content']",who answers me in the day of my distress and
23,"[23, 'p1', 'verse', 'v3', 'note', 'x']",#ch.28:20;31:3
24,"[24, 'p1', 'verse', 'v3', 'content']",has been with me wherever I have gone.”
25,"['v003_ESV_GEN_035', 25, 'p1', 'verse', 'v3', 'plain_text']","3 Then let us arise and go up to Bethel, so that I may make there an altar to the God who answers me in the day of my distress and has been with me wherever I have gone.”"
26,"[26, 'p1', 'verse', 'v4', 'label']",4
27,"[27, 'p1', 'verse', 'v4', 'content']","So they gave to Jacob all the foreign gods that they had, and the rings that were in their ears. Jacob hid them under"
28,"[28, 'p1', 'verse', 'v4', 'note', 'x']",#Josh. 24:26;Judg. 9:6
29,"[29, 'p1', 'verse', 'v4', 'content']",the terebinth tree that was near Shechem.
30,"['v004_ESV_GEN_035', 30, 'p1', 'verse', 'v4', 'plain_text']","4 So they gave to Jacob all the foreign gods that they had, and the rings that were in their ears. Jacob hid them under the terebinth tree that was near Shechem."
31,"[31, 'p2', 'verse', 'v5', 'label']",5
32,"[32, 'p2', 'verse', 'v5', 'content']","And as they journeyed, a terror from God fell upon the cities that were around them, so that they did not pursue the sons of Jacob."
33,"['v005_ESV_GEN_035', 33, 'p2', 'verse', 'v5', 'plain_text']","5 And as they journeyed, a terror from God fell upon the cities that were around them, so that they did not pursue the sons of Jacob."
34,"[34, 'p2', 'verse', 'v6', 'label']",6
35,"[35, 'p2', 'verse', 'v6', 'content']",And Jacob came to
36,"[36, 'p2', 'verse', 'v6', 'note', 'x']",#ch.28:19
37,"[37, 'p2', 'verse', 'v6', 'content']","Luz (that is, Bethel), which is in the land of Canaan, he and all the people who were with him,"
38,"['v006_ESV_GEN_035', 38, 'p2', 'verse', 'v6', 'plain_text']","6 And Jacob came to Luz (that is, Bethel), which is in the land of Canaan, he and all the people who were with him,"
39,"[39, 'p2', 'verse', 'v7', 'label']",7
40,"[40, 'p2', 'verse', 'v7', 'content']","and there he built an altar and called the place El-bethel,"
41,"[41, 'p2', 'verse', 'v7', 'note', 'f']",#35:7El-bethelmeansGod of Bethel
42,"[42, 'p2', 'verse', 'v7', 'content']",because
43,"[43, 'p2', 'verse', 'v7', 'note', 'x']",#ver.1
44,"[44, 'p2', 'verse', 'v7', 'content']",there God had revealed himself to him when he fled from his brother.
45,"['v007_ESV_GEN_035', 45, 'p2', 'verse', 'v7', 'plain_text']","7 and there he built an altar and called the place El-bethel, because there God had revealed himself to him when he fled from his brother."
46,"[46, 'p2', 'verse', 'v8', 'label']",8
47,"[47, 'p2', 'verse', 'v8', 'content']",And
48,"[48, 'p2', 'verse', 'v8', 'note', 'x']",#ch.24:59
49,"[49, 'p2', 'verse', 'v8', 'content']","Deborah, Rebekah’s nurse, died, and she was buried under an oak below Bethel. So he called its name Allon-bacuth."
50,"[50, 'p2', 'verse', 'v8', 'note', 'f']",#35:8Allon-bacuthmeansoak of weeping
51,"['v008_ESV_GEN_035', 51, 'p2', 'verse', 'v8', 'plain_text']","8 And Deborah, Rebekah’s nurse, died, and she was buried under an oak below Bethel. So he called its name Allon-bacuth."
52,"[52, 'p3', 'verse', 'v9', 'label']",9
53,"[53, 'p3', 'verse', 'v9', 'content']",God appeared
54,"[54, 'p3', 'verse', 'v9', 'note', 'f']",#35:9Orhad appeared
55,"[55, 'p3', 'verse', 'v9', 'content']","to Jacob again, when he came from Paddan-aram, and blessed him."
56,"['v009_ESV_GEN_035', 56, 'p3', 'verse', 'v9', 'plain_text']","9 God appeared to Jacob again, when he came from Paddan-aram, and blessed him."
57,"[57, 'p3', 'verse', 'v10', 'label']",10
58,"[58, 'p3', 'verse', 'v10', 'content']","And God said to him, “Your name is Jacob;"
59,"[59, 'p3', 'verse', 'v10', 'note', 'x']","#[ch.17:5,15]"
60,"[60, 'p3', 'verse', 'v10', 'content']","no longer shall your name be called Jacob, but"
61,"[61, 'p3', 'verse', 'v10', 'note', 'x']",#ch.32:28
62,"[62, 'p3', 'verse', 'v10', 'content']",Israel shall be your name.” So he called his name Israel.
63,"['v010_ESV_GEN_035', 63, 'p3', 'verse', 'v10', 'plain_text']","10 And God said to him, “Your name is Jacob; no longer shall your name be called Jacob, but Israel shall be your name.” So he called his name Israel."
64,"[64, 'p3', 'verse', 'v11', 'label']",11
65,"[65, 'p3', 'verse', 'v11', 'content']","And God said to him,"
66,"[66, 'p3', 'verse', 'v11', 'note', 'x']",#See ch.17:1
67,"[67, 'p3', 'verse', 'v11', 'content']",“I am God Almighty:
68,"[68, 'p3', 'verse', 'v11', 'note', 'f']",#35:11HebrewEl Shaddai
69,"[69, 'p3', 'verse', 'v11', 'content']",be
70,"[70, 'p3', 'verse', 'v11', 'note', 'x']",#ch.28:3;48:4
71,"[71, 'p3', 'verse', 'v11', 'content']",fruitful and multiply.
72,"[72, 'p3', 'verse', 'v11', 'note', 'x']","#ch.17:5,6,16;26:4"
73,"[73, 'p3', 'verse', 'v11', 'content']","A nation and a company of nations shall come from you, and kings shall come from your own body."
74,"[74, 'p3', 'verse', 'v11', 'note', 'f']",#35:11Hebrewfrom your loins
75,"['v011_ESV_GEN_035', 75, 'p3', 'verse', 'v11', 'plain_text']","11 And God said to him, “I am God Almighty: be fruitful and multiply. A nation and a company of nations shall come from you, and kings shall come from your own body."
76,"[76, 'p3', 'verse', 'v12', 'label']",12
77,"[77, 'p3', 'verse', 'v12', 'note', 'x']",#ch.12:7;13:15;17:8;26:3;28:13
78,"[78, 'p3', 'verse', 'v12', 'content']","The land that I gave to Abraham and Isaac I will give to you, and I will give the land to your offspring after you.”"
