id,tag,text
1,"[1, 'label']",31
2,"[2, 's1', 'heading']",Oholiab and Bezalel
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",The
5,"[5, 'p1', 'verse', 'v1', 'nd']",Lord
6,"[6, 'p1', 'verse', 'v1', 'content']","said to Moses,"
7,"['v001_ESV_EXO_031', 7, 'p1', 'verse', 'v1', 'plain_text']","1 The Lord said to Moses,"
8,"[8, 'p1', 'verse', 'v2', 'label']",2
9,"[9, 'p1', 'verse', 'v2', 'content']","“See, I have called by name"
10,"[10, 'p1', 'verse', 'v2', 'note', 'x']",#ch.35:30;36:1;1 Chr. 2:20
11,"[11, 'p1', 'verse', 'v2', 'content']","Bezalel the son of Uri, son of"
12,"[12, 'p1', 'verse', 'v2', 'note', 'x']","#ch.17:10,12;24:14"
13,"[13, 'p1', 'verse', 'v2', 'content']","Hur, of the tribe of Judah,"
14,"['v002_ESV_EXO_031', 14, 'p1', 'verse', 'v2', 'plain_text']","2 “See, I have called by name Bezalel the son of Uri, son of Hur, of the tribe of Judah,"
15,"[15, 'p1', 'verse', 'v3', 'label']",3
16,"[16, 'p1', 'verse', 'v3', 'content']",and I have
17,"[17, 'p1', 'verse', 'v3', 'note', 'x']",#ch.35:31;[1 Kgs. 7:14]
18,"[18, 'p1', 'verse', 'v3', 'content']","filled him with the Spirit of God, with ability and intelligence, with knowledge and all craftsmanship,"
19,"['v003_ESV_EXO_031', 19, 'p1', 'verse', 'v3', 'plain_text']","3 and I have filled him with the Spirit of God, with ability and intelligence, with knowledge and all craftsmanship,"
20,"[20, 'p1', 'verse', 'v4', 'label']",4
21,"[21, 'p1', 'verse', 'v4', 'content']","to devise artistic designs, to work in gold, silver, and bronze,"
22,"['v004_ESV_EXO_031', 22, 'p1', 'verse', 'v4', 'plain_text']","4 to devise artistic designs, to work in gold, silver, and bronze,"
23,"[23, 'p1', 'verse', 'v5', 'label']",5
24,"[24, 'p1', 'verse', 'v5', 'content']","in cutting stones for setting, and in carving wood, to work in every craft."
25,"['v005_ESV_EXO_031', 25, 'p1', 'verse', 'v5', 'plain_text']","5 in cutting stones for setting, and in carving wood, to work in every craft."
26,"[26, 'p1', 'verse', 'v6', 'label']",6
27,"[27, 'p1', 'verse', 'v6', 'content']","And behold, I have appointed with him"
28,"[28, 'p1', 'verse', 'v6', 'note', 'x']",#ch.35:34
29,"[29, 'p1', 'verse', 'v6', 'content']","Oholiab, the son of Ahisamach, of the tribe of Dan. And I have given to all able men"
30,"[30, 'p1', 'verse', 'v6', 'note', 'x']","#ch.28:3;35:10,35;36:1"
31,"[31, 'p1', 'verse', 'v6', 'content']","ability, that they may make all that I have commanded you:"
32,"['v006_ESV_EXO_031', 32, 'p1', 'verse', 'v6', 'plain_text']","6 And behold, I have appointed with him Oholiab, the son of Ahisamach, of the tribe of Dan. And I have given to all able men ability, that they may make all that I have commanded you:"
33,"[33, 'p1', 'verse', 'v7', 'label']",7
34,"[34, 'p1', 'verse', 'v7', 'note', 'x']",#See ch.36:8-38
35,"[35, 'p1', 'verse', 'v7', 'content']","the tent of meeting, and"
36,"[36, 'p1', 'verse', 'v7', 'note', 'x']",#See ch.37:1-5
37,"[37, 'p1', 'verse', 'v7', 'content']","the ark of the testimony, and"
38,"[38, 'p1', 'verse', 'v7', 'note', 'x']",#See ch.37:6-9
39,"[39, 'p1', 'verse', 'v7', 'content']","the mercy seat that is on it, and all the furnishings of the tent,"
40,"['v007_ESV_EXO_031', 40, 'p1', 'verse', 'v7', 'plain_text']","7 the tent of meeting, and the ark of the testimony, and the mercy seat that is on it, and all the furnishings of the tent,"
41,"[41, 'p1', 'verse', 'v8', 'label']",8
42,"[42, 'p1', 'verse', 'v8', 'note', 'x']",#See ch.37:10-16
43,"[43, 'p1', 'verse', 'v8', 'content']","the table and its utensils, and"
44,"[44, 'p1', 'verse', 'v8', 'note', 'x']",#See ch.37:17-24
45,"[45, 'p1', 'verse', 'v8', 'content']","the pure lampstand with all its utensils, and"
46,"[46, 'p1', 'verse', 'v8', 'note', 'x']",#See ch.37:25-28
47,"[47, 'p1', 'verse', 'v8', 'content']","the altar of incense,"
48,"['v008_ESV_EXO_031', 48, 'p1', 'verse', 'v8', 'plain_text']","8 the table and its utensils, and the pure lampstand with all its utensils, and the altar of incense,"
49,"[49, 'p1', 'verse', 'v9', 'label']",9
50,"[50, 'p1', 'verse', 'v9', 'content']",and
51,"[51, 'p1', 'verse', 'v9', 'note', 'x']",#See ch.38:1-7
52,"[52, 'p1', 'verse', 'v9', 'content']","the altar of burnt offering with all its utensils, and"
53,"[53, 'p1', 'verse', 'v9', 'note', 'x']",#ch.38:8
54,"[54, 'p1', 'verse', 'v9', 'content']","the basin and its stand,"
55,"['v009_ESV_EXO_031', 55, 'p1', 'verse', 'v9', 'plain_text']","9 and the altar of burnt offering with all its utensils, and the basin and its stand,"
56,"[56, 'p1', 'verse', 'v10', 'label']",10
57,"[57, 'p1', 'verse', 'v10', 'content']",and
58,"[58, 'p1', 'verse', 'v10', 'note', 'x']","#ch.35:19;39:1,41"
59,"[59, 'p1', 'verse', 'v10', 'content']","the finely worked garments,"
60,"[60, 'p1', 'verse', 'v10', 'note', 'f']",#31:10Orgarments for worship
61,"[61, 'p1', 'verse', 'v10', 'content']","the holy garments for Aaron the priest and the garments of his sons, for their service as priests,"
62,"['v010_ESV_EXO_031', 62, 'p1', 'verse', 'v10', 'plain_text']","10 and the finely worked garments, the holy garments for Aaron the priest and the garments of his sons, for their service as priests,"
63,"[63, 'p1', 'verse', 'v11', 'label']",11
64,"[64, 'p1', 'verse', 'v11', 'content']",and
65,"[65, 'p1', 'verse', 'v11', 'note', 'x']","#ch.30:25,31;37:29"
66,"[66, 'p1', 'verse', 'v11', 'content']",the anointing oil and the fragrant
