id,tag,text
1,"[1, 'label']",25
2,"[2, 's1', 'heading']",The Sabbath Year
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'note', 'x']",#ch.26:46
5,"[5, 'p1', 'verse', 'v1', 'content']",The
6,"[6, 'p1', 'verse', 'v1', 'nd']",Lord
7,"[7, 'p1', 'verse', 'v1', 'content']","spoke to Moses on Mount Sinai, saying,"
8,"['v001_ESV_LEV_025', 8, 'p1', 'verse', 'v1', 'plain_text']","1 The Lord spoke to Moses on Mount Sinai, saying,"
9,"[9, 'p1', 'verse', 'v2', 'label']",2
10,"[10, 'p1', 'verse', 'v2', 'content']","“Speak to the people of Israel and say to them, When you come into"
11,"[11, 'p1', 'verse', 'v2', 'note', 'x']","#Ex. 23:10,11;[ch.26:34,35;2 Chr. 36:21]"
12,"[12, 'p1', 'verse', 'v2', 'content']","the land that I give you, the land shall keep a Sabbath to the"
13,"[13, 'p1', 'verse', 'v2', 'nd']",Lord
14,"[14, 'p1', 'verse', 'v2', 'content']",.
15,"['v002_ESV_LEV_025', 15, 'p1', 'verse', 'v2', 'plain_text']","2 “Speak to the people of Israel and say to them, When you come into the land that I give you, the land shall keep a Sabbath to the Lord ."
16,"[16, 'p1', 'verse', 'v3', 'label']",3
17,"[17, 'p1', 'verse', 'v3', 'content']","For six years you shall sow your field, and for six years you shall prune your vineyard and gather in its fruits,"
18,"['v003_ESV_LEV_025', 18, 'p1', 'verse', 'v3', 'plain_text']","3 For six years you shall sow your field, and for six years you shall prune your vineyard and gather in its fruits,"
19,"[19, 'p1', 'verse', 'v4', 'label']",4
20,"[20, 'p1', 'verse', 'v4', 'content']","but in the seventh year there shall be a Sabbath of solemn rest for the land, a Sabbath to the"
21,"[21, 'p1', 'verse', 'v4', 'nd']",Lord
22,"[22, 'p1', 'verse', 'v4', 'content']",. You shall not sow your field or prune your vineyard.
23,"['v004_ESV_LEV_025', 23, 'p1', 'verse', 'v4', 'plain_text']","4 but in the seventh year there shall be a Sabbath of solemn rest for the land, a Sabbath to the Lord . You shall not sow your field or prune your vineyard."
24,"[24, 'p1', 'verse', 'v5', 'label']",5
25,"[25, 'p1', 'verse', 'v5', 'note', 'x']",#[2 Kgs. 19:29]; Isa. 37:30
26,"[26, 'p1', 'verse', 'v5', 'content']","You shall not reap what grows of itself in your harvest, or gather the grapes of your undressed vine. It shall be a year of solemn rest for the land."
27,"['v005_ESV_LEV_025', 27, 'p1', 'verse', 'v5', 'plain_text']","5 You shall not reap what grows of itself in your harvest, or gather the grapes of your undressed vine. It shall be a year of solemn rest for the land."
28,"[28, 'p1', 'verse', 'v6', 'label']",6
29,"[29, 'p1', 'verse', 'v6', 'content']",The Sabbath of the land
30,"[30, 'p1', 'verse', 'v6', 'note', 'f']","#25:6That is, the Sabbath produce of the land"
31,"[31, 'p1', 'verse', 'v6', 'content']","shall provide food for you, for yourself and for your male and female slaves"
32,"[32, 'p1', 'verse', 'v6', 'note', 'f']",#25:6Orservants
33,"[33, 'p1', 'verse', 'v6', 'content']","and for your hired worker and the sojourner who lives with you,"
34,"['v006_ESV_LEV_025', 34, 'p1', 'verse', 'v6', 'plain_text']","6 The Sabbath of the land shall provide food for you, for yourself and for your male and female slaves and for your hired worker and the sojourner who lives with you,"
35,"[35, 'p1', 'verse', 'v7', 'label']",7
36,"[36, 'p1', 'verse', 'v7', 'content']",and for your cattle and for the wild animals that are in your land:
37,"[37, 'p1', 'verse', 'v7', 'note', 'x']",#ver.12
38,"[38, 'p1', 'verse', 'v7', 'content']",all its yield shall be for food.
39,"[39, 's1', 'heading']",The Year of Jubilee
40,"['v007_ESV_LEV_025', 40, 'p1', 'verse', 'v7', 'plain_text']",7 and for your cattle and for the wild animals that are in your land: all its yield shall be for food.
41,"[41, 'p2', 'verse', 'v8', 'label']",8
42,"[42, 'p2', 'verse', 'v8', 'content']",“You shall count seven weeks
43,"[43, 'p2', 'verse', 'v8', 'note', 'f']",#25:8OrSabbaths
44,"[44, 'p2', 'verse', 'v8', 'content']","of years, seven times seven years, so that the time of the seven weeks of years shall give you forty-nine years."
45,"['v008_ESV_LEV_025', 45, 'p2', 'verse', 'v8', 'plain_text']","8 “You shall count seven weeks of years, seven times seven years, so that the time of the seven weeks of years shall give you forty-nine years."
46,"[46, 'p2', 'verse', 'v9', 'label']",9
47,"[47, 'p2', 'verse', 'v9', 'content']",Then you shall sound
48,"[48, 'p2', 'verse', 'v9', 'note', 'x']",#[ch.23:24;Isa. 27:13]
49,"[49, 'p2', 'verse', 'v9', 'content']",the loud trumpet on the tenth day of the seventh month.
50,"[50, 'p2', 'verse', 'v9', 'note', 'x']","#ch.23:24,27"
51,"[51, 'p2', 'verse', 'v9', 'content']",On the Day of Atonement you shall sound the trumpet throughout all your land.
52,"['v009_ESV_LEV_025', 52, 'p2', 'verse', 'v9', 'plain_text']",9 Then you shall sound the loud trumpet on the tenth day of the seventh month. On the Day of Atonement you shall sound the trumpet throughout all your land.
53,"[53, 'p2', 'verse', 'v10', 'label']",10
54,"[54, 'p2', 'verse', 'v10', 'content']","And you shall consecrate the fiftieth year, and"
55,"[55, 'p2', 'verse', 'v10', 'note', 'x']","#Isa. 61:1;Jer. 34:8,13,15,17;Ezek. 46:17;[Isa. 61:2;63:4;Luke 4:19]"
56,"[56, 'p2', 'verse', 'v10', 'content']","proclaim liberty throughout the land to all its inhabitants. It shall be a jubilee for you, when each of you shall return to his property and each of"
57,"[57, 'p2', 'verse', 'v10', 'note', 'x']",#ch.27:24;Num. 36:4
58,"[58, 'p2', 'verse', 'v10', 'content']",you shall return to his clan.
59,"['v010_ESV_LEV_025', 59, 'p2', 'verse', 'v10', 'plain_text']","10 And you shall consecrate the fiftieth year, and proclaim liberty throughout the land to all its inhabitants. It shall be a jubilee for you, when each of you shall return to his property and each of you shall return to his clan."
60,"[60, 'p2', 'verse', 'v11', 'label']",11
61,"[61, 'p2', 'verse', 'v11', 'content']",That fiftieth year shall be a jubilee for you; in it
62,"[62, 'p2', 'verse', 'v11', 'note', 'x']","#ver.4, 5"
63,"[63, 'p2', 'verse', 'v11', 'content']",you shall neither sow nor reap
64,"[64, 'p2', 'verse', 'v11', 'note', 'x']",#[See ver.5above]
65,"[65, 'p2', 'verse', 'v11', 'content']",what grows of itself nor gather the grapes from the undressed vines.
66,"['v011_ESV_LEV_025', 66, 'p2', 'verse', 'v11', 'plain_text']",11 That fiftieth year shall be a jubilee for you; in it you shall neither sow nor reap what grows of itself nor gather the grapes from the undressed vines.
67,"[67, 'p2', 'verse', 'v12', 'label']",12
68,"[68, 'p2', 'verse', 'v12', 'content']",For it is a jubilee. It shall be holy to you.
69,"[69, 'p2', 'verse', 'v12', 'note', 'x']","#ver.6, 7"
70,"[70, 'p2', 'verse', 'v12', 'content']",You may eat the produce of the field.
71,"[71, 'p2', 'verse', 'v12', 'note', 'f']",#25:12Orcountryside
72,"['v012_ESV_LEV_025', 72, 'p2', 'verse', 'v12', 'plain_text']",12 For it is a jubilee. It shall be holy to you. You may eat the produce of the field.
73,"[73, 'p3', 'verse', 'v13', 'label']",13
74,"[74, 'p3', 'verse', 'v13', 'note', 'x']",#[See ver.10above]
75,"[75, 'p3', 'verse', 'v13', 'content']",“In this year of jubilee each of you shall return to his property.
76,"['v013_ESV_LEV_025', 76, 'p3', 'verse', 'v13', 'plain_text']",13 “In this year of jubilee each of you shall return to his property.
77,"[77, 'p3', 'verse', 'v14', 'label']",14
78,"[78, 'p3', 'verse', 'v14', 'content']","And if you make a sale to your neighbor or buy from your neighbor,"
79,"[79, 'p3', 'verse', 'v14', 'note', 'x']",#[ch.19:33]
80,"[80, 'p3', 'verse', 'v14', 'content']",you shall not wrong one another.
81,"['v014_ESV_LEV_025', 81, 'p3', 'verse', 'v14', 'plain_text']","14 And if you make a sale to your neighbor or buy from your neighbor, you shall not wrong one another."
82,"[82, 'p3', 'verse', 'v15', 'label']",15
83,"[83, 'p3', 'verse', 'v15', 'note', 'x']","#ch.27:18,23"
84,"[84, 'p3', 'verse', 'v15', 'content']","You shall pay your neighbor according to the number of years after the jubilee, and he shall sell to you according to the number of years for crops."
85,"['v015_ESV_LEV_025', 85, 'p3', 'verse', 'v15', 'plain_text']","15 You shall pay your neighbor according to the number of years after the jubilee, and he shall sell to you according to the number of years for crops."
86,"[86, 'p3', 'verse', 'v16', 'label']",16
87,"[87, 'p3', 'verse', 'v16', 'content']","If the years are many, you shall increase the price, and if the years are few, you shall reduce the price, for it is the number of the crops that he is selling to you."
88,"['v016_ESV_LEV_025', 88, 'p3', 'verse', 'v16', 'plain_text']","16 If the years are many, you shall increase the price, and if the years are few, you shall reduce the price, for it is the number of the crops that he is selling to you."
89,"[89, 'p3', 'verse', 'v17', 'label']",17
90,"[90, 'p3', 'verse', 'v17', 'note', 'x']","#ver.36, 43;ch.19:14,32"
91,"[91, 'p3', 'verse', 'v17', 'content']","You shall not wrong one another, but you shall fear your God, for I am the"
92,"[92, 'p3', 'verse', 'v17', 'nd']",Lord
93,"[93, 'p3', 'verse', 'v17', 'content']",your God.
94,"['v017_ESV_LEV_025', 94, 'p3', 'verse', 'v17', 'plain_text']","17 You shall not wrong one another, but you shall fear your God, for I am the Lord your God."
95,"[95, 'p4', 'verse', 'v18', 'label']",18
96,"[96, 'p4', 'verse', 'v18', 'note', 'x']","#See ch.18:4,5"
97,"[97, 'p4', 'verse', 'v18', 'content']","“Therefore you shall do my statutes and keep my rules and perform them, and then"
98,"[98, 'p4', 'verse', 'v18', 'note', 'x']","#ch.26:5,6;Deut. 12:10;[Prov. 1:33;Jer. 23:6;Ezek. 34:25,28]"
99,"[99, 'p4', 'verse', 'v18', 'content']",you will dwell in the land securely.
100,"['v018_ESV_LEV_025', 100, 'p4', 'verse', 'v18', 'plain_text']","18 “Therefore you shall do my statutes and keep my rules and perform them, and then you will dwell in the land securely."
101,"[101, 'p4', 'verse', 'v19', 'label']",19
102,"[102, 'p4', 'verse', 'v19', 'note', 'x']","#Ps. 85:12;Ezek. 34:26,27"
103,"[103, 'p4', 'verse', 'v19', 'content']","The land will yield its fruit, and"
104,"[104, 'p4', 'verse', 'v19', 'note', 'x']","#ch.26:5;Deut. 11:15;[Joel 2:19,26]"
105,"[105, 'p4', 'verse', 'v19', 'content']",you will eat your fill
106,"[106, 'p4', 'verse', 'v19', 'note', 'x']",#[See ver.18above]
107,"[107, 'p4', 'verse', 'v19', 'content']",and dwell in it securely.
108,"['v019_ESV_LEV_025', 108, 'p4', 'verse', 'v19', 'plain_text']","19 The land will yield its fruit, and you will eat your fill and dwell in it securely."
109,"[109, 'p4', 'verse', 'v20', 'label']",20
110,"[110, 'p4', 'verse', 'v20', 'content']","And if you say,"
