id,tag,text
1,"[1, 'label']",34
2,"[2, 's1', 'heading']",Boundaries of the Land
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",The
5,"[5, 'p1', 'verse', 'v1', 'nd']",Lord
6,"[6, 'p1', 'verse', 'v1', 'content']","spoke to Moses, saying,"
7,"['v001_ESV_NUM_034', 7, 'p1', 'verse', 'v1', 'plain_text']","1 The Lord spoke to Moses, saying,"
8,"[8, 'p1', 'verse', 'v2', 'label']",2
9,"[9, 'p1', 'verse', 'v2', 'content']","“Command the people of Israel, and say to them, When you enter"
10,"[10, 'p1', 'verse', 'v2', 'note', 'x']",#Gen. 17:8;Ex. 3:8;Ps. 105:11
11,"[11, 'p1', 'verse', 'v2', 'content']",the land of Canaan
12,"[12, 'p1', 'verse', 'v2', 'note', 'x']",#ver.13
13,"[13, 'p1', 'verse', 'v2', 'content']","(this is the land that shall fall to you for an inheritance, the land of Canaan as defined by its borders),"
14,"['v002_ESV_NUM_034', 14, 'p1', 'verse', 'v2', 'plain_text']","2 “Command the people of Israel, and say to them, When you enter the land of Canaan (this is the land that shall fall to you for an inheritance, the land of Canaan as defined by its borders),"
15,"[15, 'p1', 'verse', 'v3', 'label']",3
16,"[16, 'p1', 'verse', 'v3', 'note', 'x']",#Josh. 15:1;SeeGen. 15:18-21;Ezek. 47:13-21
17,"[17, 'p1', 'verse', 'v3', 'content']","your south side shall be from the wilderness of Zin alongside Edom, and your southern border shall run from the end of"
18,"[18, 'p1', 'verse', 'v3', 'note', 'x']",#ver.12;Gen. 14:3;Josh. 15:2
19,"[19, 'p1', 'verse', 'v3', 'content']",the Salt Sea on the east.
20,"['v003_ESV_NUM_034', 20, 'p1', 'verse', 'v3', 'plain_text']","3 your south side shall be from the wilderness of Zin alongside Edom, and your southern border shall run from the end of the Salt Sea on the east."
21,"[21, 'p1', 'verse', 'v4', 'label']",4
22,"[22, 'p1', 'verse', 'v4', 'content']",And your border shall turn south of
23,"[23, 'p1', 'verse', 'v4', 'note', 'x']",#Josh. 15:3
24,"[24, 'p1', 'verse', 'v4', 'content']","the ascent of Akrabbim, and cross to Zin, and its limit shall be south of Kadesh-barnea. Then it shall go on to"
