id,tag,text
1,"[1, 'label']",10
2,"[2, 's1', 'heading']",The Sun Stands Still
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']","As soon as Adoni-zedek, king of Jerusalem, heard how Joshua had captured Ai and had devoted it to destruction,"
5,"[5, 'p1', 'verse', 'v1', 'note', 'f']","#10:1That is, set apart (devoted) as an offering to the Lord (for destruction); also verses 28, 35, 37, 39, 40"
6,"[6, 'p1', 'verse', 'v1', 'note', 'x']","#ch.8:22,26-29"
7,"[7, 'p1', 'verse', 'v1', 'content']",doing to Ai and its king
8,"[8, 'p1', 'verse', 'v1', 'note', 'x']","#See ch.6:21,24"
9,"[9, 'p1', 'verse', 'v1', 'content']","as he had done to Jericho and its king, and"
10,"[10, 'p1', 'verse', 'v1', 'note', 'x']",#ch.9:15
11,"[11, 'p1', 'verse', 'v1', 'content']","how the inhabitants of Gibeon had made peace with Israel and were among them,"
12,"['v001_ESV_JOS_010', 12, 'p1', 'verse', 'v1', 'plain_text']","1 As soon as Adoni-zedek, king of Jerusalem, heard how Joshua had captured Ai and had devoted it to destruction, doing to Ai and its king as he had done to Jericho and its king, and how the inhabitants of Gibeon had made peace with Israel and were among them,"
13,"[13, 'p1', 'verse', 'v2', 'label']",2
14,"[14, 'p1', 'verse', 'v2', 'note', 'x']",#Deut. 11:25
15,"[15, 'p1', 'verse', 'v2', 'content']",he
16,"[16, 'p1', 'verse', 'v2', 'note', 'f']","#10:2One Hebrew manuscript, Vulgate (compare Syriac); most Hebrew manuscriptsthey"
17,"[17, 'p1', 'verse', 'v2', 'content']","feared greatly, because Gibeon was a great city, like one of the royal cities, and because it was greater than Ai, and all its men were warriors."
18,"['v002_ESV_JOS_010', 18, 'p1', 'verse', 'v2', 'plain_text']","2 he feared greatly, because Gibeon was a great city, like one of the royal cities, and because it was greater than Ai, and all its men were warriors."
19,"[19, 'p1', 'verse', 'v3', 'label']",3
20,"[20, 'p1', 'verse', 'v3', 'content']","So Adoni-zedek king of Jerusalem sent to Hoham king of Hebron, to Piram king of Jarmuth, to Japhia king of Lachish, and to Debir king of Eglon, saying,"
21,"['v003_ESV_JOS_010', 21, 'p1', 'verse', 'v3', 'plain_text']","3 So Adoni-zedek king of Jerusalem sent to Hoham king of Hebron, to Piram king of Jarmuth, to Japhia king of Lachish, and to Debir king of Eglon, saying,"
22,"[22, 'p1', 'verse', 'v4', 'label']",4
23,"[23, 'p1', 'verse', 'v4', 'content']","“Come up to me and help me, and let us strike Gibeon. For"
24,"[24, 'p1', 'verse', 'v4', 'note', 'x']",#ver.1;ch.9:15
25,"[25, 'p1', 'verse', 'v4', 'content']",it has made peace with Joshua and with the people of Israel.”
26,"['v004_ESV_JOS_010', 26, 'p1', 'verse', 'v4', 'plain_text']","4 “Come up to me and help me, and let us strike Gibeon. For it has made peace with Joshua and with the people of Israel.”"
27,"[27, 'p1', 'verse', 'v5', 'label']",5
28,"[28, 'p1', 'verse', 'v5', 'content']","Then the five kings of the Amorites, the king of Jerusalem, the king of Hebron, the king of Jarmuth, the king of Lachish, and the king of Eglon,"
29,"[29, 'p1', 'verse', 'v5', 'note', 'x']",#ch.9:2
30,"[30, 'p1', 'verse', 'v5', 'content']",gathered their forces and went up with all their armies and encamped against Gibeon and made war against it.
31,"['v005_ESV_JOS_010', 31, 'p1', 'verse', 'v5', 'plain_text']","5 Then the five kings of the Amorites, the king of Jerusalem, the king of Hebron, the king of Jarmuth, the king of Lachish, and the king of Eglon, gathered their forces and went up with all their armies and encamped against Gibeon and made war against it."
32,"[32, 'p2', 'verse', 'v6', 'label']",6
33,"[33, 'p2', 'verse', 'v6', 'content']",And the men of Gibeon sent to Joshua
34,"[34, 'p2', 'verse', 'v6', 'note', 'x']",#ch.5:10;9:6
35,"[35, 'p2', 'verse', 'v6', 'content']","at the camp in Gilgal, saying, “Do not relax your hand from your servants. Come up to us quickly and save us and help us, for all the kings of the Amorites who dwell in the hill country are gathered against us.”"
36,"['v006_ESV_JOS_010', 36, 'p2', 'verse', 'v6', 'plain_text']","6 And the men of Gibeon sent to Joshua at the camp in Gilgal, saying, “Do not relax your hand from your servants. Come up to us quickly and save us and help us, for all the kings of the Amorites who dwell in the hill country are gathered against us.”"
37,"[37, 'p2', 'verse', 'v7', 'label']",7
38,"[38, 'p2', 'verse', 'v7', 'content']","So Joshua went up from Gilgal, he and"
39,"[39, 'p2', 'verse', 'v7', 'note', 'x']","#ch.8:1,3"
40,"[40, 'p2', 'verse', 'v7', 'content']","all the people of war with him, and all the mighty men of valor."
41,"['v007_ESV_JOS_010', 41, 'p2', 'verse', 'v7', 'plain_text']","7 So Joshua went up from Gilgal, he and all the people of war with him, and all the mighty men of valor."
42,"[42, 'p2', 'verse', 'v8', 'label']",8
43,"[43, 'p2', 'verse', 'v8', 'content']",And the
44,"[44, 'p2', 'verse', 'v8', 'nd']",Lord
45,"[45, 'p2', 'verse', 'v8', 'content']","said to Joshua,"
46,"[46, 'p2', 'verse', 'v8', 'note', 'x']",#ch.11:6;Judg. 4:14
47,"[47, 'p2', 'verse', 'v8', 'content']","“Do not fear them, for I have given them into your hands."
48,"[48, 'p2', 'verse', 'v8', 'note', 'x']",#ch.1:5
49,"[49, 'p2', 'verse', 'v8', 'content']",Not a man of them shall stand before you.”
50,"['v008_ESV_JOS_010', 50, 'p2', 'verse', 'v8', 'plain_text']","8 And the Lord said to Joshua, “Do not fear them, for I have given them into your hands. Not a man of them shall stand before you.”"
51,"[51, 'p2', 'verse', 'v9', 'label']",9
52,"[52, 'p2', 'verse', 'v9', 'content']","So Joshua came upon them suddenly, having marched up all night from Gilgal."
53,"['v009_ESV_JOS_010', 53, 'p2', 'verse', 'v9', 'plain_text']","9 So Joshua came upon them suddenly, having marched up all night from Gilgal."
54,"[54, 'p2', 'verse', 'v10', 'label']",10
55,"[55, 'p2', 'verse', 'v10', 'note', 'x']",#Judg. 4:15;1 Sam. 7:10;Ps. 18:14;Isa. 28:21
56,"[56, 'p2', 'verse', 'v10', 'content']",And the
57,"[57, 'p2', 'verse', 'v10', 'nd']",Lord
58,"[58, 'p2', 'verse', 'v10', 'content']","threw them into a panic before Israel, who"
59,"[59, 'p2', 'verse', 'v10', 'note', 'f']",#10:10Orand he
60,"[60, 'p2', 'verse', 'v10', 'content']",struck them with a great blow at Gibeon and chased them by the way of
61,"[61, 'p2', 'verse', 'v10', 'note', 'x']","#ch.16:3,5;18:13,14;1 Kgs. 9:17;1 Chr. 7:24;2 Chr. 8:5"
62,"[62, 'p2', 'verse', 'v10', 'content']",the ascent of Beth-horon and struck them as far as Azekah and Makkedah.
63,"['v010_ESV_JOS_010', 63, 'p2', 'verse', 'v10', 'plain_text']","10 And the Lord threw them into a panic before Israel, who struck them with a great blow at Gibeon and chased them by the way of the ascent of Beth-horon and struck them as far as Azekah and Makkedah."
64,"[64, 'p2', 'verse', 'v11', 'label']",11
65,"[65, 'p2', 'verse', 'v11', 'content']","And as they fled before Israel, while they were"
66,"[66, 'p2', 'verse', 'v11', 'note', 'x']",#[See ver.10above]
67,"[67, 'p2', 'verse', 'v11', 'content']","going down the ascent of Beth-horon,"
68,"[68, 'p2', 'verse', 'v11', 'note', 'x']",#[Ps. 18:12-14;Isa. 30:30;Rev. 16:21]
69,"[69, 'p2', 'verse', 'v11', 'content']",the
70,"[70, 'p2', 'verse', 'v11', 'nd']",Lord
71,"[71, 'p2', 'verse', 'v11', 'content']","threw down large stones from heaven on them as far as Azekah, and they died. There were more who died because of the hailstones than the sons of Israel killed with the sword."
72,"['v011_ESV_JOS_010', 72, 'p2', 'verse', 'v11', 'plain_text']","11 And as they fled before Israel, while they were going down the ascent of Beth-horon, the Lord threw down large stones from heaven on them as far as Azekah, and they died. There were more who died because of the hailstones than the sons of Israel killed with the sword."
73,"[73, 'p3', 'verse', 'v12', 'label']",12
74,"[74, 'p3', 'verse', 'v12', 'content']",At that time Joshua spoke to the
75,"[75, 'p3', 'verse', 'v12', 'nd']",Lord
76,"[76, 'p3', 'verse', 'v12', 'content']",in the day when the
77,"[77, 'p3', 'verse', 'v12', 'nd']",Lord
78,"[78, 'p3', 'verse', 'v12', 'content']","gave the Amorites over to the sons of Israel, and he said in the sight of Israel,"
79,"[79, 'q1_1', 'verse', 'v12', 'note', 'x']",#Hab. 3:11;[Isa. 28:21]
80,"[80, 'q1_1', 'verse', 'v12', 'content']","“Sun, stand still at Gibeon,"
81,"[81, 'q2_1', 'verse', 'v12', 'content']","and moon, in the Valley of Aijalon.”"
82,"['v012_ESV_JOS_010', 82, 'p3', 'verse', 'v12', 'plain_text']","12 At that time Joshua spoke to the Lord in the day when the Lord gave the Amorites over to the sons of Israel, and he said in the sight of Israel, “Sun, stand still at Gibeon, and moon, in the Valley of Aijalon.”"
83,"[83, 'q1_2', 'verse', 'v13', 'label']",13
84,"[84, 'q1_2', 'verse', 'v13', 'content']","And the sun stood still, and the moon stopped,"
85,"[85, 'q2_2', 'verse', 'v13', 'content']",until the nation took vengeance on their enemies.
86,"[86, 'm1', 'verse', 'v13', 'content']",Is this not written in the Book of Jashar? The sun stopped in the midst of heaven and did not hurry to set for about a whole day.
87,"['v013_ESV_JOS_010', 87, 'q1_2', 'verse', 'v13', 'plain_text']","13 And the sun stood still, and the moon stopped, until the nation took vengeance on their enemies. Is this not written in the Book of Jashar? The sun stopped in the midst of heaven and did not hurry to set for about a whole day."
88,"[88, 'm1', 'verse', 'v14', 'label']",14
89,"[89, 'm1', 'verse', 'v14', 'note', 'x']",#Isa. 38:8;[2 Kgs. 20:11]
90,"[90, 'm1', 'verse', 'v14', 'content']","There has been no day like it before or since, when the"
91,"[91, 'm1', 'verse', 'v14', 'nd']",Lord
92,"[92, 'm1', 'verse', 'v14', 'content']","heeded the voice of a man, for"
