id,tag,text
1,"[1, 'label']",2
2,"[2, 's1', 'heading']",Israel’s Disobedience
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",Now the angel of the
5,"[5, 'p1', 'verse', 'v1', 'nd']",Lord
6,"[6, 'p1', 'verse', 'v1', 'content']",went up from Gilgal to
7,"[7, 'p1', 'verse', 'v1', 'note', 'x']",#ver.5
8,"[8, 'p1', 'verse', 'v1', 'content']","Bochim. And he said, “I brought you up from Egypt and brought you into the land that I swore to give to your fathers. I said,"
9,"[9, 'p1', 'verse', 'v1', 'note', 'x']",#Gen. 17:7;Ex. 6:4;Deut. 31:16
10,"[10, 'p1', 'verse', 'v1', 'content']","‘I will never break my covenant with you,"
11,"['v001_ESV_JDG_002', 11, 'p1', 'verse', 'v1', 'plain_text']","1 Now the angel of the Lord went up from Gilgal to Bochim. And he said, “I brought you up from Egypt and brought you into the land that I swore to give to your fathers. I said, ‘I will never break my covenant with you,"
12,"[12, 'p1', 'verse', 'v2', 'label']",2
13,"[13, 'p1', 'verse', 'v2', 'note', 'x']",#Deut. 7:2
14,"[14, 'p1', 'verse', 'v2', 'content']",and you shall make no covenant with the inhabitants of this land;
15,"[15, 'p1', 'verse', 'v2', 'note', 'x']",#Deut. 12:3
16,"[16, 'p1', 'verse', 'v2', 'content']",you shall break down their altars.’ But you have not obeyed my voice. What is this you have done?
17,"['v002_ESV_JDG_002', 17, 'p1', 'verse', 'v2', 'plain_text']",2 and you shall make no covenant with the inhabitants of this land; you shall break down their altars.’ But you have not obeyed my voice. What is this you have done?
18,"[18, 'p1', 'verse', 'v3', 'label']",3
19,"[19, 'p1', 'verse', 'v3', 'content']","So now I say,"
20,"[20, 'p1', 'verse', 'v3', 'note', 'x']",#ver.21
21,"[21, 'p1', 'verse', 'v3', 'content']","I will not drive them out before you, but they shall become"
22,"[22, 'p1', 'verse', 'v3', 'note', 'x']",#Num. 33:55;Josh. 23:13
23,"[23, 'p1', 'verse', 'v3', 'content']","thorns in your sides, and their gods shall be a snare to you.”"
24,"['v003_ESV_JDG_002', 24, 'p1', 'verse', 'v3', 'plain_text']","3 So now I say, I will not drive them out before you, but they shall become thorns in your sides, and their gods shall be a snare to you.”"
25,"[25, 'p1', 'verse', 'v4', 'label']",4
26,"[26, 'p1', 'verse', 'v4', 'content']",As soon as the angel of the
27,"[27, 'p1', 'verse', 'v4', 'nd']",Lord
28,"[28, 'p1', 'verse', 'v4', 'content']","spoke these words to all the people of Israel, the people lifted up their voices and wept."
29,"['v004_ESV_JDG_002', 29, 'p1', 'verse', 'v4', 'plain_text']","4 As soon as the angel of the Lord spoke these words to all the people of Israel, the people lifted up their voices and wept."
30,"[30, 'p1', 'verse', 'v5', 'label']",5
31,"[31, 'p1', 'verse', 'v5', 'content']",And they called the name of that place Bochim.
32,"[32, 'p1', 'verse', 'v5', 'note', 'f']",#2:5Bochimmeansweepers
33,"[33, 'p1', 'verse', 'v5', 'content']",And they sacrificed there to the
34,"[34, 'p1', 'verse', 'v5', 'nd']",Lord
35,"[35, 'p1', 'verse', 'v5', 'content']",.
36,"[36, 's1', 'heading']",The Death of Joshua
37,"['v005_ESV_JDG_002', 37, 'p1', 'verse', 'v5', 'plain_text']",5 And they called the name of that place Bochim. And they sacrificed there to the Lord .
38,"[38, 'p2', 'verse', 'v6', 'label']",6
39,"[39, 'p2', 'verse', 'v6', 'content']","When Joshua dismissed the people, the people of Israel went each to his inheritance to take possession of the land."
40,"['v006_ESV_JDG_002', 40, 'p2', 'verse', 'v6', 'plain_text']","6 When Joshua dismissed the people, the people of Israel went each to his inheritance to take possession of the land."
41,"[41, 'p2', 'verse', 'v7', 'label']",7
42,"[42, 'p2', 'verse', 'v7', 'note', 'x']","#For ver. 7-9, seeJosh. 24:29-31"
43,"[43, 'p2', 'verse', 'v7', 'content']",And the people served the
44,"[44, 'p2', 'verse', 'v7', 'nd']",Lord
45,"[45, 'p2', 'verse', 'v7', 'content']","all the days of Joshua, and all the days of the elders who outlived Joshua, who had seen all the great work that the"
46,"[46, 'p2', 'verse', 'v7', 'nd']",Lord
47,"[47, 'p2', 'verse', 'v7', 'content']",had done for Israel.
48,"['v007_ESV_JDG_002', 48, 'p2', 'verse', 'v7', 'plain_text']","7 And the people served the Lord all the days of Joshua, and all the days of the elders who outlived Joshua, who had seen all the great work that the Lord had done for Israel."
49,"[49, 'p2', 'verse', 'v8', 'label']",8
50,"[50, 'p2', 'verse', 'v8', 'content']","And Joshua the son of Nun, the servant of the"
51,"[51, 'p2', 'verse', 'v8', 'nd']",Lord
52,"[52, 'p2', 'verse', 'v8', 'content']",", died at the age of 110 years."
53,"['v008_ESV_JDG_002', 53, 'p2', 'verse', 'v8', 'plain_text']","8 And Joshua the son of Nun, the servant of the Lord , died at the age of 110 years."
54,"[54, 'p2', 'verse', 'v9', 'label']",9
55,"[55, 'p2', 'verse', 'v9', 'content']",And they buried him within the boundaries of
56,"[56, 'p2', 'verse', 'v9', 'note', 'x']",#Josh. 19:50
57,"[57, 'p2', 'verse', 'v9', 'content']","his inheritance in Timnath-heres,"
58,"[58, 'p2', 'verse', 'v9', 'note', 'x']",#Josh. 24:33
59,"[59, 'p2', 'verse', 'v9', 'content']","in the hill country of Ephraim, north of the mountain of Gaash."
60,"['v009_ESV_JDG_002', 60, 'p2', 'verse', 'v9', 'plain_text']","9 And they buried him within the boundaries of his inheritance in Timnath-heres, in the hill country of Ephraim, north of the mountain of Gaash."
61,"[61, 'p2', 'verse', 'v10', 'label']",10
62,"[62, 'p2', 'verse', 'v10', 'content']",And all that generation also were gathered to their fathers. And there arose another generation after them who did not know the
63,"[63, 'p2', 'verse', 'v10', 'nd']",Lord
64,"[64, 'p2', 'verse', 'v10', 'content']",or the work that he had done for Israel.
65,"[65, 's1', 'heading']",Israel’s Unfaithfulness
66,"['v010_ESV_JDG_002', 66, 'p2', 'verse', 'v10', 'plain_text']",10 And all that generation also were gathered to their fathers. And there arose another generation after them who did not know the Lord or the work that he had done for Israel.
67,"[67, 'p3', 'verse', 'v11', 'label']",11
68,"[68, 'p3', 'verse', 'v11', 'note', 'x']",#ch.3:7;4:1;6:1;10:6;13:1
69,"[69, 'p3', 'verse', 'v11', 'content']",And the people of Israel did what was evil in the sight of the
70,"[70, 'p3', 'verse', 'v11', 'nd']",Lord
71,"[71, 'p3', 'verse', 'v11', 'content']",and served the Baals.
72,"['v011_ESV_JDG_002', 72, 'p3', 'verse', 'v11', 'plain_text']",11 And the people of Israel did what was evil in the sight of the Lord and served the Baals.
