id,tag,text
1,"[1, 'label']",49
2,"[2, 's1', 'heading']",យ៉ាកុបឲ្យពរកូនៗ
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",យ៉ាកុប​ហៅ​ពួក​កូនប្រុស​របស់គាត់​មក ហើយ​និយាយថា​៖ “ចូរ​ប្រមូលគ្នា ដើម្បីឲ្យ​យើង​ប្រាប់​ពួកឯង​នូវ​អ្វីដែល​នឹង​កើតឡើង​ដល់​ពួកឯង នៅ​ថ្ងៃខាងមុខ​។
5,"['v001_GKH_GEN_049', 5, 'p1', 'verse', 'v1', 'plain_text']",1 យ៉ាកុប​ហៅ​ពួក​កូនប្រុស​របស់គាត់​មក ហើយ​និយាយថា​៖ “ចូរ​ប្រមូលគ្នា ដើម្បីឲ្យ​យើង​ប្រាប់​ពួកឯង​នូវ​អ្វីដែល​នឹង​កើតឡើង​ដល់​ពួកឯង នៅ​ថ្ងៃខាងមុខ​។
6,"[6, 'q1_1', 'verse', 'v2', 'label']",2
7,"[7, 'q1_1', 'verse', 'v2', 'content']",ពួក​កូនប្រុស​របស់​យ៉ាកុប​អើយ ចូរ​ផ្ដុំគ្នា​ស្ដាប់
8,"[8, 'q1_2', 'verse', 'v2', 'content']",ចូរ​ស្ដាប់​អ៊ីស្រាអែល​ឪពុក​របស់ពួកឯង​ចុះ​!
9,"['v002_GKH_GEN_049', 9, 'q1_1', 'verse', 'v2', 'plain_text']",2 ពួក​កូនប្រុស​របស់​យ៉ាកុប​អើយ ចូរ​ផ្ដុំគ្នា​ស្ដាប់ ចូរ​ស្ដាប់​អ៊ីស្រាអែល​ឪពុក​របស់ពួកឯង​ចុះ​!
10,"[10, 'q1_3', 'verse', 'v3', 'label']",3
11,"[11, 'q1_3', 'verse', 'v3', 'content']",រូបេន​អើយ ឯង​ជា​កូនច្បង​របស់យើង​។
12,"[12, 'q1_4', 'verse', 'v3', 'content']",ឯងជា​ឫទ្ធិ និង​ជា​ផលដំបូង​នៃ​កម្លាំង​របស់យើង
13,"[13, 'q1_5', 'verse', 'v3', 'content']",ឯង​លើសគេ​ខាងឯ​កិត្តិយស ក៏​លើសគេ​ខាងឯ​អំណាច​ដែរ​។
14,"['v003_GKH_GEN_049', 14, 'q1_3', 'verse', 'v3', 'plain_text']",3 រូបេន​អើយ ឯង​ជា​កូនច្បង​របស់យើង​។ ឯងជា​ឫទ្ធិ និង​ជា​ផលដំបូង​នៃ​កម្លាំង​របស់យើង ឯង​លើសគេ​ខាងឯ​កិត្តិយស ក៏​លើសគេ​ខាងឯ​អំណាច​ដែរ​។
15,"[15, 'q1_6', 'verse', 'v4', 'label']",4
16,"[16, 'q1_6', 'verse', 'v4', 'content']",ដោយសារឯង​រំពើក​ដូច​ទឹក ឯង​នឹង​មិន​បាន​លើសគេ​ទៀត​ឡើយ
17,"[17, 'q1_7', 'verse', 'v4', 'content']",ពីព្រោះ​ឯង​បាន​ឡើងទៅលើ​គ្រែ​របស់​ឪពុក​ឯង ហើយ​បាន​ធ្វើឲ្យ​វា​សៅហ្មង​។
18,"[18, 'q1_8', 'verse', 'v4', 'content']",វា​បាន​ឡើងទៅលើ​ទីដំណេក​របស់យើង​!
19,"['v004_GKH_GEN_049', 19, 'q1_6', 'verse', 'v4', 'plain_text']",4 ដោយសារឯង​រំពើក​ដូច​ទឹក ឯង​នឹង​មិន​បាន​លើសគេ​ទៀត​ឡើយ ពីព្រោះ​ឯង​បាន​ឡើងទៅលើ​គ្រែ​របស់​ឪពុក​ឯង ហើយ​បាន​ធ្វើឲ្យ​វា​សៅហ្មង​។ វា​បាន​ឡើងទៅលើ​ទីដំណេក​របស់យើង​!
20,"[20, 'q1_9', 'verse', 'v5', 'label']",5
21,"[21, 'q1_9', 'verse', 'v5', 'content']",ស៊ីម្មាន និង​លេវី​ជា​បងប្អូន​;
22,"[22, 'q1_10', 'verse', 'v5', 'content']",ដាវ​របស់ពួកគេ​ជា​អាវុធ​នៃ​អំពើហិង្សា​។
23,"['v005_GKH_GEN_049', 23, 'q1_9', 'verse', 'v5', 'plain_text']",5 ស៊ីម្មាន និង​លេវី​ជា​បងប្អូន​; ដាវ​របស់ពួកគេ​ជា​អាវុធ​នៃ​អំពើហិង្សា​។
24,"[24, 'q1_11', 'verse', 'v6', 'label']",6
25,"[25, 'q1_11', 'verse', 'v6', 'content']",កុំឲ្យ​ព្រលឹង​របស់យើង​ចូលទៅ​ក្នុង​ការពិគ្រោះ​របស់ពួកគេ​ឡើយ
26,"[26, 'q1_12', 'verse', 'v6', 'content']",កុំឲ្យ​សិរីរុងរឿង​របស់យើង​ចូលរួម​ក្នុង​អង្គប្រជុំ​របស់ពួកគេ​ឡើយ
27,"[27, 'q1_13', 'verse', 'v6', 'content']",ដ្បិត​ពួកគេ​បាន​សម្លាប់​មនុស្ស​ដោយ​កំហឹង​របស់ពួកគេ
28,"[28, 'q1_14', 'verse', 'v6', 'content']",ហើយ​បាន​កាត់សរសៃពួរជើង​គោឈ្មោល​តាមអំពើចិត្ត​។
29,"['v006_GKH_GEN_049', 29, 'q1_11', 'verse', 'v6', 'plain_text']",6 កុំឲ្យ​ព្រលឹង​របស់យើង​ចូលទៅ​ក្នុង​ការពិគ្រោះ​របស់ពួកគេ​ឡើយ កុំឲ្យ​សិរីរុងរឿង​របស់យើង​ចូលរួម​ក្នុង​អង្គប្រជុំ​របស់ពួកគេ​ឡើយ ដ្បិត​ពួកគេ​បាន​សម្លាប់​មនុស្ស​ដោយ​កំហឹង​របស់ពួកគេ ហើយ​បាន​កាត់សរសៃពួរជើង​គោឈ្មោល​តាមអំពើចិត្ត​។
30,"[30, 'q1_15', 'verse', 'v7', 'label']",7
31,"[31, 'q1_15', 'verse', 'v7', 'content']",កំហឹង​របស់ពួកគេ​ត្រូវបណ្ដាសា​ហើយ ដ្បិត​វា​សាហាវ
32,"[32, 'q1_16', 'verse', 'v7', 'content']",សេចក្ដីក្ដៅក្រហាយ​របស់ពួកគេ​ត្រូវបណ្ដាសា​ហើយ ដ្បិត​វា​ឃោរឃៅ​។
33,"[33, 'q1_17', 'verse', 'v7', 'content']",យើង​នឹង​បំបែក​ពួកគេ​ចេញ​នៅក្នុង​យ៉ាកុប ហើយ​កម្ចាត់កម្ចាយ​ពួកគេ​នៅក្នុង​អ៊ីស្រាអែល​។
34,"['v007_GKH_GEN_049', 34, 'q1_15', 'verse', 'v7', 'plain_text']",7 កំហឹង​របស់ពួកគេ​ត្រូវបណ្ដាសា​ហើយ ដ្បិត​វា​សាហាវ សេចក្ដីក្ដៅក្រហាយ​របស់ពួកគេ​ត្រូវបណ្ដាសា​ហើយ ដ្បិត​វា​ឃោរឃៅ​។ យើង​នឹង​បំបែក​ពួកគេ​ចេញ​នៅក្នុង​យ៉ាកុប ហើយ​កម្ចាត់កម្ចាយ​ពួកគេ​នៅក្នុង​អ៊ីស្រាអែល​។
35,"[35, 'q1_18', 'verse', 'v8', 'label']",8
36,"[36, 'q1_18', 'verse', 'v8', 'content']",យូដា​អើយ បងប្អូន​របស់ឯង​នឹង​សរសើរ​ឯង
37,"[37, 'q1_19', 'verse', 'v8', 'content']",ដៃ​របស់ឯង​នឹង​នៅលើ ក​របស់​ខ្មាំងសត្រូវ​ឯង
38,"[38, 'q1_20', 'verse', 'v8', 'content']",ពួក​កូនប្រុស​របស់​ឪពុក​ឯង​នឹង​ក្រាបចុះ​នៅចំពោះ​ឯង​។
