id,tag,text
1,"[1, 'label']",15
2,"[2, 's1', 'heading']",The Cutting of the Covenant
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",After these things the word of the
5,"[5, 'p1', 'verse', 'v1', 'sc']",Lord
6,"[6, 'p1', 'verse', 'v1', 'content']","came to Abram in a vision: “Fear not, Abram! I am your shield"
7,"[7, 'p1', 'verse', 'v1', 'note', 'f']","sn The noun “shield” recalls the words of Melchizedek in 14:20. If God is the shield, then God will deliver. Abram need not fear reprisals from those he has fought."
8,"[8, 'p1', 'verse', 'v1', 'content']",and the one who will reward you in great abundance.”
9,"[9, 'p1', 'verse', 'v1', 'note', 'f']","tn Heb “your reward [in] great abundance.” When the phrase הַרְבּה מְאֹדֵ (harbeh mÿod) follows a noun it invariably modifies the noun and carries the nuance “very great” or “in great abundance.” (See its use in Gen 41:49; Deut 3:5; Josh 22:8; 2 Sam 8:8; 12:2; 1 Kgs 4:29; 10:10-11; 2 Chr 14:13; 32:27; Jer 40:12.) Here the noun “reward” is in apposition to “shield” and refers by metonymy to God as the source of the reward. Some translate here “your reward will be very great” (cf. NASB, NRSV), taking the statement as an independent clause and understanding the Hiphil infinitive absolute as a substitute for a finite verb. However, the construction הַרְבּה מְאֹדֵ is never used this way elsewhere, where it either modifies a noun (see the texts listed above) or serves as an adverb in relation to a finite verb (see Josh 13:1; 1 Sam 26:21; 2 Sam 12:30; 2 Kgs 21:16; 1 Chr 20:2; Neh 2:2).
sn Abram has just rejected all the spoils of war, and the Lord promises to reward him in great abundance. In walking by faith and living with integrity he cannot lose."
10,"['v001_NET_GEN_015', 10, 'p1', 'verse', 'v1', 'plain_text']","1 After these things the word of the Lord came to Abram in a vision: “Fear not, Abram! I am your shield and the one who will reward you in great abundance.”"
11,"[11, 'p2', 'verse', 'v2', 'label']",2
12,"[12, 'p2', 'verse', 'v2', 'content']","But Abram said, “O sovereign"
13,"[13, 'p2', 'verse', 'v2', 'sc']",Lord
14,"[14, 'p2', 'verse', 'v2', 'content']",","
15,"[15, 'p2', 'verse', 'v2', 'note', 'f']","tn The Hebrew text has אֲדֹנָי יֱהוִה (’adonay yehvih, “Master, Lord”). Since the tetragrammaton (YHWH) usually is pointed with the vowels for the Hebrew word אֲדֹנָי (’adonay, “master”) to avoid pronouncing the divine name, that would lead in this place to a repetition of אֲדֹנָי. So the tetragrammaton is here pointed with the vowels for the word אֱלֹהִים (’elohim, “God”) instead. That would produce the reading of the Hebrew as “Master, God” in the Jewish textual tradition. But the presence of “Master” before the holy name is rather compelling evidence that the original would have been “Master, Lord,” which is rendered here “sovereign Lord.”"
16,"[16, 'p2', 'verse', 'v2', 'content']",what will you give me since
17,"[17, 'p2', 'verse', 'v2', 'note', 'f']","tn The vav (ו) disjunctive at the beginning of the clause is circumstantial, expressing the cause or reason."
18,"[18, 'p2', 'verse', 'v2', 'content']",I continue to be
19,"[19, 'p2', 'verse', 'v2', 'note', 'f']",tn Heb “I am going.”
20,"[20, 'p2', 'verse', 'v2', 'content']","childless, and my heir"
21,"[21, 'p2', 'verse', 'v2', 'note', 'f']","tn Heb “the son of the acquisition of my house.”
sn For the custom of designating a member of the household as heir, see C. H. Gordon, “Biblical Customs and the Nuzu Tablets,” Biblical Archaeologist Reader, 2:21-33."
22,"[22, 'p2', 'verse', 'v2', 'content']",is
23,"[23, 'p2', 'verse', 'v2', 'note', 'f']","tn The pronoun is anaphoric here, equivalent to the verb “to be” (R. J. Williams, Hebrew Syntax, 23, §115)."
24,"[24, 'p2', 'verse', 'v2', 'content']",Eliezer of Damascus?”
25,"[25, 'p2', 'verse', 'v2', 'note', 'f']","sn The sentence in the Hebrew text employs a very effective wordplay on the name Damascus: “The son of the acquisition (בֶּן־מֶשֶׁק, ben-mesheq) of my house is Eliezer of Damascus (דַּמֶּשֶׁק, dammesheq).” The words are not the same; they have different sibilants. But the sound play gives the impression that “in the nomen is the omen.” Eliezer the Damascene will be Abram’s heir if Abram dies childless because “Damascus” seems to mean that. See M. F. Unger, “Some Comments on the Text of Genesis 15:2-3,” JBL 72 (1953): 49-50; H. L. Ginsberg, “Abram’s ‘Damascene’ Steward,” BASOR 200 (1970): 31-32."
26,"['v002_NET_GEN_015', 26, 'p2', 'verse', 'v2', 'plain_text']","2 But Abram said, “O sovereign Lord , what will you give me since I continue to be childless, and my heir is Eliezer of Damascus?”"
27,"[27, 'p2', 'verse', 'v3', 'label']",3
28,"[28, 'p2', 'verse', 'v3', 'content']","Abram added,"
29,"[29, 'p2', 'verse', 'v3', 'note', 'f']",tn Heb “And Abram said.”
30,"[30, 'p2', 'verse', 'v3', 'content']",“Since
31,"[31, 'p2', 'verse', 'v3', 'note', 'f']","tn The construction uses הֵן (hen) to introduce the foundational clause (“since…”), and וְהִנֵּה (vÿhinneh) to introduce the main clause (“then look…”)."
32,"[32, 'p2', 'verse', 'v3', 'content']","you have not given me a descendant, then look, one born in my house will be my heir!”"
33,"[33, 'p2', 'verse', 'v3', 'note', 'f']",tn Heb “is inheriting me.”
34,"['v003_NET_GEN_015', 34, 'p2', 'verse', 'v3', 'plain_text']","3 Abram added, “Since you have not given me a descendant, then look, one born in my house will be my heir!”"
35,"[35, 'p3', 'verse', 'v4', 'label']",4
36,"[36, 'p3', 'verse', 'v4', 'content']","But look,"
37,"[37, 'p3', 'verse', 'v4', 'note', 'f']","tn The disjunctive draws attention to God’s response and the particle הִנֵּה (hinneh, translated “look”) mirrors Abram’s statement in v. 3 and highlights the fact that God responded to Abram."
38,"[38, 'p3', 'verse', 'v4', 'content']",the word of the
39,"[39, 'p3', 'verse', 'v4', 'sc']",Lord
40,"[40, 'p3', 'verse', 'v4', 'content']",came to him: “This man
