id,tag,text
1,"[1, 'label']",77
2,"[2, 'd', 'content']","Para Jedutum, regente do coral: salmo de Asafe."
3,"[3, 'q', 'verse', 'v1', 'label']",1
4,"[4, 'q', 'verse', 'v1', 'content']","Clamo a Deus; sim, grito bem alto."
5,"[5, 'q', 'verse', 'v1', 'content']",Quem dera Deus me ouvisse!
6,"[6, 'q', 'verse', 'v1', 'plain_text']","1 Clamo a Deus; sim, grito bem alto. Quem dera Deus me ouvisse!"
7,"[7, 'q', 'verse', 'v2', 'label']",2
8,"[8, 'q', 'verse', 'v2', 'content']","Quando eu estava angustiado,"
9,"[9, 'q', 'verse', 'v2', 'content']",busquei o Senhor.
10,"[10, 'q', 'verse', 'v2', 'content']","Orei a noite toda, de mãos estendidas para o céu,"
11,"[11, 'q', 'verse', 'v2', 'content']",mas minha alma recusou ser consolada.
12,"[12, 'q', 'verse', 'v2', 'plain_text']","2 Quando eu estava angustiado, busquei o Senhor. Orei a noite toda, de mãos estendidas para o céu, mas minha alma recusou ser consolada."
13,"[13, 'q', 'verse', 'v3', 'label']",3
14,"[14, 'q', 'verse', 'v3', 'content']",Lembro-me de Deus e começo a gemer;
15,"[15, 'q', 'verse', 'v3', 'content']","desfaleço, ansioso por sua ajuda."
16,"[16, 'q', 'verse', 'v3', 'plain_text']","3 Lembro-me de Deus e começo a gemer; desfaleço, ansioso por sua ajuda."
17,"[17, 'qa', 'heading']",Interlúdio
18,"[18, 'q', 'verse', 'v4', 'label']",4
19,"[19, 'q', 'verse', 'v4', 'content']",Tu não me deixas dormir;
20,"[20, 'q', 'verse', 'v4', 'content']",estou tão desesperado que nem consigo falar!
21,"[21, 'q', 'verse', 'v4', 'plain_text']",4 Tu não me deixas dormir; estou tão desesperado que nem consigo falar!
22,"[22, 'q', 'verse', 'v5', 'label']",5
23,"[23, 'q', 'verse', 'v5', 'content']","Penso nos dias que passaram,"
24,"[24, 'q', 'verse', 'v5', 'content']",nos anos que há muito se foram.
25,"[25, 'q', 'verse', 'v5', 'plain_text']","5 Penso nos dias que passaram, nos anos que há muito se foram."
26,"[26, 'q', 'verse', 'v6', 'label']",6
27,"[27, 'q', 'verse', 'v6', 'content']","À noite, relembro canções alegres;"
28,"[28, 'q', 'verse', 'v6', 'content']",consulto minha alma e procuro compreender minha situação.
29,"[29, 'q', 'verse', 'v6', 'plain_text']","6 À noite, relembro canções alegres; consulto minha alma e procuro compreender minha situação."
30,"[30, 'q', 'verse', 'v7', 'label']",7
31,"[31, 'q', 'verse', 'v7', 'content']",Acaso o Senhor me rejeitou em definitivo?
