[1, 'label']	38
[2, 's1', 'heading']	Judah and Tamar
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	It happened at that time that Judah went down from his brothers and
[5, 'p1', 'verse', 'v1', 'note', 'x']	#ver.16;ch.19:3;2 Kgs. 4:8
[6, 'p1', 'verse', 'v1', 'content']	turned aside to a certain
[7, 'p1', 'verse', 'v1', 'note', 'x']	#1 Sam. 22:1;2 Sam. 23:13;1 Chr. 11:15;Mic. 1:15
[8, 'p1', 'verse', 'v1', 'content']	Adullamite, whose name was Hirah.
['v001_ESV_GEN_038', 9, 'p1', 'verse', 'v1', 'plain_text']	1 It happened at that time that Judah went down from his brothers and turned aside to a certain Adullamite, whose name was Hirah.
[10, 'p1', 'verse', 'v2', 'label']	2
[11, 'p1', 'verse', 'v2', 'content']	There Judah saw the daughter of a certain Canaanite whose name was
[12, 'p1', 'verse', 'v2', 'note', 'x']	#[1 Chr. 2:3]
[13, 'p1', 'verse', 'v2', 'content']	Shua. He took her and went in to her,
['v002_ESV_GEN_038', 14, 'p1', 'verse', 'v2', 'plain_text']	2 There Judah saw the daughter of a certain Canaanite whose name was Shua. He took her and went in to her,
[15, 'p1', 'verse', 'v3', 'label']	3
[16, 'p1', 'verse', 'v3', 'content']	and she conceived and bore a son, and he called his name
[17, 'p1', 'verse', 'v3', 'note', 'x']	#ch.46:12;Num. 26:19,20
[18, 'p1', 'verse', 'v3', 'content']	Er.
['v003_ESV_GEN_038', 19, 'p1', 'verse', 'v3', 'plain_text']	3 and she conceived and bore a son, and he called his name Er.
[20, 'p1', 'verse', 'v4', 'label']	4
[21, 'p1', 'verse', 'v4', 'content']	She conceived again and bore a son, and she called his name
[22, 'p1', 'verse', 'v4', 'note', 'x']	#[See ver.3above]
[23, 'p1', 'verse', 'v4', 'content']	Onan.
['v004_ESV_GEN_038', 24, 'p1', 'verse', 'v4', 'plain_text']	4 She conceived again and bore a son, and she called his name Onan.
[25, 'p1', 'verse', 'v5', 'label']	5
[26, 'p1', 'verse', 'v5', 'content']	Yet again she bore a son, and she called his name
[27, 'p1', 'verse', 'v5', 'note', 'x']	#[See ver.3above]
[28, 'p1', 'verse', 'v5', 'content']	Shelah. Judah
[29, 'p1', 'verse', 'v5', 'note', 'f']	#38:5HebrewHe
[30, 'p1', 'verse', 'v5', 'content']	was in Chezib when she bore him.
['v005_ESV_GEN_038', 31, 'p1', 'verse', 'v5', 'plain_text']	5 Yet again she bore a son, and she called his name Shelah. Judah was in Chezib when she bore him.
[32, 'p2', 'verse', 'v6', 'label']	6
[33, 'p2', 'verse', 'v6', 'content']	And Judah took a wife for Er his firstborn, and her name was Tamar.
['v006_ESV_GEN_038', 34, 'p2', 'verse', 'v6', 'plain_text']	6 And Judah took a wife for Er his firstborn, and her name was Tamar.
[35, 'p2', 'verse', 'v7', 'label']	7
[36, 'p2', 'verse', 'v7', 'content']	But Er, Judah’s firstborn,
[37, 'p2', 'verse', 'v7', 'note', 'x']	#1 Chr. 2:3
[38, 'p2', 'verse', 'v7', 'content']	was wicked in the sight of the
[39, 'p2', 'verse', 'v7', 'nd']	Lord
[40, 'p2', 'verse', 'v7', 'content']	, and the
[41, 'p2', 'verse', 'v7', 'nd']	Lord
[42, 'p2', 'verse', 'v7', 'content']	put him to death.
