[1, 'label']	11
[2, 's1', 'heading']	Clean and Unclean Animals
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	And the
[5, 'p1', 'verse', 'v1', 'nd']	Lord
[6, 'p1', 'verse', 'v1', 'content']	spoke to Moses and Aaron, saying to them,
['v001_ESV_LEV_011', 7, 'p1', 'verse', 'v1', 'plain_text']	1 And the Lord spoke to Moses and Aaron, saying to them,
[8, 'p1', 'verse', 'v2', 'label']	2
[9, 'p1', 'verse', 'v2', 'content']	“Speak to the people of Israel, saying,
[10, 'p1', 'verse', 'v2', 'note', 'x']	#For ver. 1-47, see Deut. 14:3-20;[Matt. 15:11;Mark 7:15,18;Acts 10:12-15;11:6-9;Rom. 14:14;1 Cor. 8:8;Col. 2:16,21;Heb. 9:10]
[11, 'p1', 'verse', 'v2', 'content']	These are the living things that you may eat among all the animals that are on the earth.
['v002_ESV_LEV_011', 12, 'p1', 'verse', 'v2', 'plain_text']	2 “Speak to the people of Israel, saying, These are the living things that you may eat among all the animals that are on the earth.
[13, 'p1', 'verse', 'v3', 'label']	3
[14, 'p1', 'verse', 'v3', 'content']	Whatever parts the hoof and is cloven-footed and chews the cud, among the animals, you may eat.
['v003_ESV_LEV_011', 15, 'p1', 'verse', 'v3', 'plain_text']	3 Whatever parts the hoof and is cloven-footed and chews the cud, among the animals, you may eat.
[16, 'p1', 'verse', 'v4', 'label']	4
[17, 'p1', 'verse', 'v4', 'content']	Nevertheless, among those that chew the cud or part the hoof, you shall not eat these: The camel, because it chews the cud but does not part the hoof, is unclean to you.
['v004_ESV_LEV_011', 18, 'p1', 'verse', 'v4', 'plain_text']	4 Nevertheless, among those that chew the cud or part the hoof, you shall not eat these: The camel, because it chews the cud but does not part the hoof, is unclean to you.
[19, 'p1', 'verse', 'v5', 'label']	5
[20, 'p1', 'verse', 'v5', 'content']	And the
[21, 'p1', 'verse', 'v5', 'note', 'x']	#Ps. 104:18;Prov. 30:26
[22, 'p1', 'verse', 'v5', 'content']	rock badger, because it chews the cud but does not part the hoof, is unclean to you.
['v005_ESV_LEV_011', 23, 'p1', 'verse', 'v5', 'plain_text']	5 And the rock badger, because it chews the cud but does not part the hoof, is unclean to you.
[24, 'p1', 'verse', 'v6', 'label']	6
[25, 'p1', 'verse', 'v6', 'content']	And the hare, because it chews the cud but does not part the hoof, is unclean to you.
['v006_ESV_LEV_011', 26, 'p1', 'verse', 'v6', 'plain_text']	6 And the hare, because it chews the cud but does not part the hoof, is unclean to you.
[27, 'p1', 'verse', 'v7', 'label']	7
[28, 'p1', 'verse', 'v7', 'content']	And the pig, because it parts the hoof and is cloven-footed but does not chew the cud,
