[1, 'label']	29
[2, 's1', 'heading']	Offerings for the Feast of Trumpets
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	“On the first day of the seventh month you shall have a holy convocation. You shall not do any ordinary work.
[5, 'p1', 'verse', 'v1', 'note', 'x']	#Lev. 23:24;See ch.10:1-10
[6, 'p1', 'verse', 'v1', 'content']	It is a day for you to blow the trumpets,
['v001_ESV_NUM_029', 7, 'p1', 'verse', 'v1', 'plain_text']	1 “On the first day of the seventh month you shall have a holy convocation. You shall not do any ordinary work. It is a day for you to blow the trumpets,
[8, 'p1', 'verse', 'v2', 'label']	2
[9, 'p1', 'verse', 'v2', 'content']	and you shall offer a burnt offering, for a pleasing aroma to the
[10, 'p1', 'verse', 'v2', 'nd']	Lord
[11, 'p1', 'verse', 'v2', 'content']	: one bull from the herd, one ram, seven male lambs a year old without blemish;
['v002_ESV_NUM_029', 12, 'p1', 'verse', 'v2', 'plain_text']	2 and you shall offer a burnt offering, for a pleasing aroma to the Lord : one bull from the herd, one ram, seven male lambs a year old without blemish;
[13, 'p1', 'verse', 'v3', 'label']	3
[14, 'p1', 'verse', 'v3', 'content']	also their grain offering of fine flour mixed with oil, three tenths of an ephah
[15, 'p1', 'verse', 'v3', 'note', 'f']	#29:3Anephahwas about 3/5 bushel or 22 liters
[16, 'p1', 'verse', 'v3', 'content']	for the bull, two tenths for the ram,
['v003_ESV_NUM_029', 17, 'p1', 'verse', 'v3', 'plain_text']	3 also their grain offering of fine flour mixed with oil, three tenths of an ephah for the bull, two tenths for the ram,
[18, 'p1', 'verse', 'v4', 'label']	4
[19, 'p1', 'verse', 'v4', 'content']	and one tenth for each of the seven lambs;
['v004_ESV_NUM_029', 20, 'p1', 'verse', 'v4', 'plain_text']	4 and one tenth for each of the seven lambs;
[21, 'p1', 'verse', 'v5', 'label']	5
[22, 'p1', 'verse', 'v5', 'content']	with
[23, 'p1', 'verse', 'v5', 'note', 'x']	#[See ch.28:30above]
[24, 'p1', 'verse', 'v5', 'content']	one male goat for a sin offering, to make atonement for you;
['v005_ESV_NUM_029', 25, 'p1', 'verse', 'v5', 'plain_text']	5 with one male goat for a sin offering, to make atonement for you;
[26, 'p1', 'verse', 'v6', 'label']	6
[27, 'p1', 'verse', 'v6', 'content']	besides
[28, 'p1', 'verse', 'v6', 'note', 'x']	#See ch.28:11-15
