[1, 'label']	12
[2, 's1', 'heading']	Jephthah’s Conflict with Ephraim
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'note', 'x']	#ch.8:1
[5, 'p1', 'verse', 'v1', 'content']	The men of Ephraim were called to arms, and they crossed to Zaphon and said to Jephthah, “Why did you cross over to fight against the Ammonites and did not call us to go with you? We will burn your house over you with fire.”
['v001_ESV_JDG_012', 6, 'p1', 'verse', 'v1', 'plain_text']	1 The men of Ephraim were called to arms, and they crossed to Zaphon and said to Jephthah, “Why did you cross over to fight against the Ammonites and did not call us to go with you? We will burn your house over you with fire.”
[7, 'p1', 'verse', 'v2', 'label']	2
[8, 'p1', 'verse', 'v2', 'content']	And Jephthah said to them, “I and my people had a great dispute with the Ammonites, and when I called you, you did not save me from their hand.
['v002_ESV_JDG_012', 9, 'p1', 'verse', 'v2', 'plain_text']	2 And Jephthah said to them, “I and my people had a great dispute with the Ammonites, and when I called you, you did not save me from their hand.
[10, 'p1', 'verse', 'v3', 'label']	3
[11, 'p1', 'verse', 'v3', 'content']	And when I saw that you would not save me,
[12, 'p1', 'verse', 'v3', 'note', 'x']	#1 Sam. 19:5;28:21;Job 13:14;[Ps. 119:109]
[13, 'p1', 'verse', 'v3', 'content']	I took my life in my hand and crossed over against the Ammonites, and the
[14, 'p1', 'verse', 'v3', 'nd']	Lord
[15, 'p1', 'verse', 'v3', 'content']	gave them into my hand. Why then have you come up to me this day to fight against me?”
['v003_ESV_JDG_012', 16, 'p1', 'verse', 'v3', 'plain_text']	3 And when I saw that you would not save me, I took my life in my hand and crossed over against the Ammonites, and the Lord gave them into my hand. Why then have you come up to me this day to fight against me?”
[17, 'p1', 'verse', 'v4', 'label']	4
[18, 'p1', 'verse', 'v4', 'content']	Then Jephthah gathered all the men of Gilead and fought with Ephraim. And the men of Gilead struck Ephraim, because they said,
[19, 'p1', 'verse', 'v4', 'note', 'x']	#[1 Sam. 25:10]
