[1, 'label']	20
[2, 's1', 'heading']	អ័ប្រាហាំ និងអ័ប៊ីម្ម៉ាឡិច
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	អ័ប្រាហាំ​ធ្វើដំណើរ​ពី​ទីនោះ​ទៅ​តំបន់​ណេកិប ហើយ​រស់នៅ​ចន្លោះ​កាដេស និង​ស៊ើរ គឺ​រស់នៅបណ្ដោះអាសន្ន​នៅ​កេរ៉ារ​។
['v001_GKH_GEN_020', 5, 'p1', 'verse', 'v1', 'plain_text']	1 អ័ប្រាហាំ​ធ្វើដំណើរ​ពី​ទីនោះ​ទៅ​តំបន់​ណេកិប ហើយ​រស់នៅ​ចន្លោះ​កាដេស និង​ស៊ើរ គឺ​រស់នៅបណ្ដោះអាសន្ន​នៅ​កេរ៉ារ​។
[6, 'p1', 'verse', 'v2', 'label']	2
[7, 'p1', 'verse', 'v2', 'content']	អ័ប្រាហាំ​និយាយ​អំពី​សារ៉ា​ប្រពន្ធ​របស់គាត់​ថា​៖ “នាង​ជា​ប្អូនស្រី​របស់ខ្ញុំ”។ ដូច្នេះ អ័ប៊ីម្ម៉ាឡិច​ស្ដេច​នៃ​កេរ៉ារ​ក៏​ចាត់​គេ​ឲ្យទៅ​យក​សារ៉ា​។
['v002_GKH_GEN_020', 8, 'p1', 'verse', 'v2', 'plain_text']	2 អ័ប្រាហាំ​និយាយ​អំពី​សារ៉ា​ប្រពន្ធ​របស់គាត់​ថា​៖ “នាង​ជា​ប្អូនស្រី​របស់ខ្ញុំ”។ ដូច្នេះ អ័ប៊ីម្ម៉ាឡិច​ស្ដេច​នៃ​កេរ៉ារ​ក៏​ចាត់​គេ​ឲ្យទៅ​យក​សារ៉ា​។
[9, 'p2', 'verse', 'v3', 'label']	3
[10, 'p2', 'verse', 'v3', 'content']	ប៉ុន្តែ​ព្រះ​យាង​មក​ឯ​អ័ប៊ីម្ម៉ាឡិច​ក្នុង​សុបិន​ពេលយប់ ហើយ​មានបន្ទូល​នឹង​ទ្រង់​ថា​៖ “មើល៍! អ្នក​នឹង​ស្លាប់ ដោយសារតែ​ស្ត្រី​ដែល​អ្នក​បាន​យកមក​នេះ ដ្បិត​នាង​រៀបការ​ប្ដី​ហើយ”។
['v003_GKH_GEN_020', 11, 'p2', 'verse', 'v3', 'plain_text']	3 ប៉ុន្តែ​ព្រះ​យាង​មក​ឯ​អ័ប៊ីម្ម៉ាឡិច​ក្នុង​សុបិន​ពេលយប់ ហើយ​មានបន្ទូល​នឹង​ទ្រង់​ថា​៖ “មើល៍! អ្នក​នឹង​ស្លាប់ ដោយសារតែ​ស្ត្រី​ដែល​អ្នក​បាន​យកមក​នេះ ដ្បិត​នាង​រៀបការ​ប្ដី​ហើយ”។
[12, 'p3', 'verse', 'v4', 'label']	4
[13, 'p3', 'verse', 'v4', 'content']	រីឯ​អ័ប៊ីម្ម៉ាឡិច​មិន​បាន​ចូលទៅជិត​សារ៉ា​ទេ ដូច្នេះ​ទ្រង់​ទូលថា​៖ “ព្រះអម្ចាស់​នៃទូលបង្គំ​អើយ តើ​ព្រះអង្គ​នឹង​សម្លាប់​ប្រជាជាតិ​មួយ ទោះបីជា​ប្រជាជាតិនោះ​គ្មានទោស​ក៏ដោយ​ឬ​?
['v004_GKH_GEN_020', 14, 'p3', 'verse', 'v4', 'plain_text']	4 រីឯ​អ័ប៊ីម្ម៉ាឡិច​មិន​បាន​ចូលទៅជិត​សារ៉ា​ទេ ដូច្នេះ​ទ្រង់​ទូលថា​៖ “ព្រះអម្ចាស់​នៃទូលបង្គំ​អើយ តើ​ព្រះអង្គ​នឹង​សម្លាប់​ប្រជាជាតិ​មួយ ទោះបីជា​ប្រជាជាតិនោះ​គ្មានទោស​ក៏ដោយ​ឬ​?
[15, 'p3', 'verse', 'v5', 'label']	5
