[1, 'label']	49
[2, 's1', 'heading']	The Blessing of Jacob
[3, 'p1', 'verse', 'v1', 'label']	1
[4, 'p1', 'verse', 'v1', 'content']	Jacob called for his sons and said, “Gather together so I can tell you
[5, 'p1', 'verse', 'v1', 'note', 'f']	tn After the imperative, the cohortative with prefixed vav (ו) indicates purpose/result.
[6, 'p1', 'verse', 'v1', 'content']	what will happen to you in the future.
[7, 'p1', 'verse', 'v1', 'note', 'f']	tn The expression “in the future” (אַחֲרִית הַיָּמִים, ’akharit hayyamim, “in the end of days”) is found most frequently in prophetic passages; it may refer to the end of the age, the eschaton, or to the distant future. The contents of some of the sayings in this chapter stretch from the immediate circumstances to the time of the settlement in the land to the coming of Messiah. There is a great deal of literature on this chapter, including among others C. Armerding, “The Last Words of Jacob: Genesis 49,” BSac 112 (1955): 320-28; H. Pehlke, “An Exegetical and Theological Study of Genesis 49:1-28” (Th.D. dissertation, Dallas Theological Seminary, 1985); and B. Vawter, “The Canaanite Background of Genesis 49,” CBQ 17 (1955): 1-18.
['v001_NET_GEN_049', 8, 'p1', 'verse', 'v1', 'plain_text']	1 Jacob called for his sons and said, “Gather together so I can tell you what will happen to you in the future.
[9, 'p2', 'verse', 'v2', 'label']	2
[10, 'p2', 'verse', 'v2', 'content']	“Assemble and listen, you sons of Jacob;
[11, 'p3', 'verse', 'v2', 'content']	listen to Israel, your father.
['v002_NET_GEN_049', 12, 'p2', 'verse', 'v2', 'plain_text']	2 “Assemble and listen, you sons of Jacob; listen to Israel, your father.
[13, 'p4', 'verse', 'v3', 'label']	3
[14, 'p4', 'verse', 'v3', 'content']	Reuben, you are my firstborn,
[15, 'p5', 'verse', 'v3', 'content']	my might and the beginning of my strength,
[16, 'p6', 'verse', 'v3', 'content']	outstanding in dignity, outstanding in power.
['v003_NET_GEN_049', 17, 'p4', 'verse', 'v3', 'plain_text']	3 Reuben, you are my firstborn, my might and the beginning of my strength, outstanding in dignity, outstanding in power.
[18, 'p7', 'verse', 'v4', 'label']	4
[19, 'p7', 'verse', 'v4', 'content']	You are destructive
[20, 'p7', 'verse', 'v4', 'note', 'f']	tn The Hebrew noun פַּחַז (pakhaz) only occurs here in the OT. A related verb occurs twice in the prophets (Jer 23:32; Zeph 3:4) for false prophets inventing their messages, and once in Judges for unscrupulous men bribed to murder (Judg 9:4). It would describe Reuben as being “frothy, boiling, turbulent” as water. The LXX has “run riot,” the Vulgate has “poured out,” and Tg. Onq. has “you followed your own direction.” It is a reference to Reuben’s misconduct in Gen 35, but the simile and the rare word invite some speculation. H. Pehlke suggests “destructive like water,” for Reuben acted with pride and presumption; see his “An Exegetical and Theological Study of Genesis 49:1-28” (Th.D. dissertation, Dallas Theological Seminary, 1985).
[21, 'p7', 'verse', 'v4', 'content']	like water and will not excel,
[22, 'p7', 'verse', 'v4', 'note', 'f']	tn Heb “Do not excel!” The Hiphil of the verb יָתַר (yatar) has this meaning only here. The negated jussive is rhetorical here. Rather than being a command, it anticipates what will transpire. The prophecy says that because of the character of the ancestor, the tribe of Reuben would not have the character to lead (see 1 Chr 5:1).
[23, 'p8', 'verse', 'v4', 'content']	for you got on your father’s bed,
[24, 'p8', 'verse', 'v4', 'note', 'f']	sn This is a euphemism for having sexual intercourse with Jacob’s wives (see Gen 35:22).
[25, 'p9', 'verse', 'v4', 'content']	then you defiled it – he got on my couch!
[26, 'p9', 'verse', 'v4', 'note', 'f']	tn The last verb is third masculine singular, as if for the first time Jacob told the brothers, or let them know that he knew. For a discussion of this passage see S. Gevirtz, “The Reprimand of Reuben,” JNES 30 (1971): 87-98.
['v004_NET_GEN_049', 27, 'p7', 'verse', 'v4', 'plain_text']	4 You are destructive like water and will not excel, for you got on your father’s bed, then you defiled it – he got on my couch!
[28, 'p10', 'verse', 'v5', 'label']	5
[29, 'p10', 'verse', 'v5', 'content']	Simeon and Levi are brothers,
[30, 'p11', 'verse', 'v5', 'content']	weapons of violence are their knives!
[31, 'p11', 'verse', 'v5', 'note', 'f']	tn The meaning of the Hebrew word מְכֵרָה (mÿkherah) is uncertain. It has been rendered (1) “habitations”; (2) “merchandise”; (3) “counsels”; (4) “swords”; (5) “wedding feasts.” If it is from the verb כָּרַת (karat) and formed after noun patterns for instruments and tools (maqtil, miqtil form), then it would refer to “knives.” Since the verb is used in Exod 4:25 for circumcision, the idea would be “their circumcision knives,” an allusion to the events of Gen 34 (see M. J. Dahood, “‘MKRTYHM’ in Genesis 49,5,” CBQ 23 [1961]: 54-56). Another explanation also connects the word to the events of Gen 34 as a reference to the intended “wedding feast” for Dinah which could take place only after the men of Shechem were circumcised (see D. W. Young, “A Ghost Word in the Testament of Jacob (Gen 49:5)?” JBL 100 [1981]: 335-422).
['v005_NET_GEN_049', 32, 'p10', 'verse', 'v5', 'plain_text']	5 Simeon and Levi are brothers, weapons of violence are their knives!
[33, 'p12', 'verse', 'v6', 'label']	6
[34, 'p12', 'verse', 'v6', 'content']	O my soul, do not come into their council,
[35, 'p13', 'verse', 'v6', 'content']	do not be united to their assembly, my heart,
[36, 'p13', 'verse', 'v6', 'note', 'f']	tn The Hebrew text reads “my glory,” but it is preferable to repoint the form and read “my liver.” The liver was sometimes viewed as the seat of the emotions and will (see HALOT 456 s.v. II כָּבֵד) for which the heart is the modern equivalent.
[37, 'p14', 'verse', 'v6', 'content']	for in their anger they have killed men,
[38, 'p15', 'verse', 'v6', 'content']	and for pleasure they have hamstrung oxen.
['v006_NET_GEN_049', 39, 'p12', 'verse', 'v6', 'plain_text']	6 O my soul, do not come into their council, do not be united to their assembly, my heart, for in their anger they have killed men, and for pleasure they have hamstrung oxen.
[40, 'p16', 'verse', 'v7', 'label']	7
[41, 'p16', 'verse', 'v7', 'content']	Cursed be their anger, for it was fierce,
[42, 'p17', 'verse', 'v7', 'content']	and their fury, for it was cruel.
[43, 'p18', 'verse', 'v7', 'content']	I will divide them in Jacob,
[44, 'p19', 'verse', 'v7', 'content']	and scatter them in Israel!
[45, 'p19', 'verse', 'v7', 'note', 'f']	sn Divide…scatter. What is predicted here is a division of their tribes. Most commentators see here an anticipation of Levi being in every area but not their own. That may be part of it, but not entirely what the curse intended. These tribes for their ruthless cruelty would be eliminated from the power and prestige of leadership.
['v007_NET_GEN_049', 46, 'p16', 'verse', 'v7', 'plain_text']	7 Cursed be their anger, for it was fierce, and their fury, for it was cruel. I will divide them in Jacob, and scatter them in Israel!
[47, 'p20', 'verse', 'v8', 'label']	8
[48, 'p20', 'verse', 'v8', 'content']	Judah,
[49, 'p20', 'verse', 'v8', 'note', 'f']	sn There is a wordplay here; the name Judah (יְהוּדָה, yÿhudah) sounds in Hebrew like the verb translated praise (יוֹדוּךָ, yodukha). The wordplay serves to draw attention to the statement as having special significance.
[50, 'p20', 'verse', 'v8', 'content']	your brothers will praise you.
[51, 'p21', 'verse', 'v8', 'content']	Your hand will be on the neck of your enemies,
[52, 'p22', 'verse', 'v8', 'content']	your father’s sons will bow down before you.
['v008_NET_GEN_049', 53, 'p20', 'verse', 'v8', 'plain_text']	8 Judah, your brothers will praise you. Your hand will be on the neck of your enemies, your father’s sons will bow down before you.
[54, 'p23', 'verse', 'v9', 'label']	9
[55, 'p23', 'verse', 'v9', 'content']	You are a lion’s cub, Judah,
[56, 'p24', 'verse', 'v9', 'content']	from the prey, my son, you have gone up.
[57, 'p25', 'verse', 'v9', 'content']	He crouches and lies down like a lion;
[58, 'p26', 'verse', 'v9', 'content']	like a lioness – who will rouse him?
['v009_NET_GEN_049', 59, 'p23', 'verse', 'v9', 'plain_text']	9 You are a lion’s cub, Judah, from the prey, my son, you have gone up. He crouches and lies down like a lion; like a lioness – who will rouse him?
[60, 'p27', 'verse', 'v10', 'label']	10
[61, 'p27', 'verse', 'v10', 'content']	The scepter will not depart from Judah,
[62, 'p28', 'verse', 'v10', 'content']	nor the ruler’s staff from between his feet,
[63, 'p28', 'verse', 'v10', 'note', 'f']	tn Or perhaps “from his descendants,” taking the expression “from between his feet” as a euphemism referring to the genitals. In this case the phrase refers by metonymy to those who come forth from his genitals, i.e., his descendants.
[64, 'p29', 'verse', 'v10', 'content']	until he comes to whom it belongs;
[65, 'p29', 'verse', 'v10', 'note', 'f']	tn The Hebrew form שִׁילֹה (shiloh) is a major interpretive problem. There are at least four major options (with many variations and less likely alternatives): (1) Some prefer to leave the text as it is, reading “Shiloh” and understanding it as the place where the ark rested for a while in the time of the Judges. (2) By repointing the text others arrive at the translation “until the [or “his”] ruler comes,” a reference to a Davidic ruler or the Messiah. (3) Another possibility that does not require emendation of the consonantal text, but only repointing, is “until tribute is brought to him” (so NEB, JPS, NRSV), which has the advantage of providing good parallelism with the following line, “the nations will obey him.” (4) The interpretation followed in the present translation, “to whom it [belongs]” (so RSV, NIV, REB), is based on the ancient versions. Again, this would refer to the Davidic dynasty or, ultimately, to the Messiah.
[66, 'p30', 'verse', 'v10', 'content']	the nations will obey him.
[67, 'p30', 'verse', 'v10', 'note', 'f']	tn “and to him [will be] the obedience of the nations.” For discussion of this verse see J. Blenkinsopp, “The Oracle of Judah and the Messianic Entry,” JBL 80 (1961): 55-64; and E. M. Good, “The ‘Blessing’ on Judah,” JBL 82 (1963): 427-32.
