id,tag,text
0,['label'],1
1,"['s1', 'heading']",The Covenant Setting
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']",This is what
4,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “These are the words.”
5,"['p1', 'verse', 'v1', 'content']",Moses said to the assembly of Israel
6,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “to all Israel.”
7,"['p1', 'verse', 'v1', 'content']",in the Transjordanian
8,"['p1', 'verse', 'v1', 'note', 'f']","tn Heb “on the other side of the Jordan.” This would appear to favor authorship by someone living on the west side of the Jordan, that is, in Canaan, whereas the biblical tradition locates Moses on the east side (cf. v. 5). However the Hebrew phrase בְּעֵבֶר הַיּרְדֵּן (bÿ’ever hayyrÿden) is a frozen form meaning “Transjordan,” a name appropriate from any geographical vantage point. To this day, one standing east of the Jordan can describe himself as being in Transjordan."
9,"['p1', 'verse', 'v1', 'content']","wastelands, the arid country opposite"
10,"['p1', 'verse', 'v1', 'note', 'f']","tn The Hebrew term מוֹל (mol) may also mean “in front of” or “near” (cf. NCV, TEV, CEV, NLT)."
11,"['p1', 'verse', 'v1', 'content']","Suph,"
12,"['p1', 'verse', 'v1', 'note', 'f']","sn This place is otherwise unattested and its location is unknown. Perhaps it is Khirbet Sufah, 4 mi (6 km) SSE of Madaba, Jordan."
13,"['p1', 'verse', 'v1', 'content']",between
14,"['p1', 'verse', 'v1', 'note', 'f']",tn The Hebrew term בֵּין (ben) may suggest “in the area of.”
15,"['p1', 'verse', 'v1', 'content']",Paran
16,"['p1', 'verse', 'v1', 'note', 'f']",sn Paran is the well-known desert area between Mount Sinai and Kadesh Barnea (cf. Num 10:12; 12:16).
17,"['p1', 'verse', 'v1', 'content']","and Tophel,"
18,"['p1', 'verse', 'v1', 'note', 'f']","sn Tophel refers possibly to et£-T£afîleh, 15 mi (25 km) SE of the Dead Sea, or to Da‚bîlu, another name for Paran. See H. Cazelles, “Tophel (Deut. 1:1),” VT 9 (1959): 412-15."
19,"['p1', 'verse', 'v1', 'content']","Laban,"
20,"['p1', 'verse', 'v1', 'note', 'f']",sn Laban. Perhaps this refers to Libnah (Num 33:20).
21,"['p1', 'verse', 'v1', 'content']","Hazeroth,"
22,"['p1', 'verse', 'v1', 'note', 'f']","sn Hazeroth. This probably refers to àAin Khadra. See Y. Aharoni, The Land of the Bible, 199-200."
23,"['p1', 'verse', 'v1', 'content']",and Di Zahab
24,"['p1', 'verse', 'v1', 'note', 'f']",sn Di Zahab. Perhaps this refers to Mina al-Dhahab on the eastern Sinai coast.
26,"['p1', 'verse', 'v2', 'label']",2
27,"['p1', 'verse', 'v2', 'content']",Now it is ordinarily an eleven-day journey
28,"['p1', 'verse', 'v2', 'note', 'f']",sn An eleven-day journey was about 140 mi (233 km).
29,"['p1', 'verse', 'v2', 'content']",from Horeb
30,"['p1', 'verse', 'v2', 'note', 'f']",sn Horeb is another name for Sinai. “Horeb” occurs 9 times in the Book of Deuteronomy and “Sinai” only once (33:2). “Sinai” occurs 13 times in the Book of Exodus and “Horeb” only 3 times.
31,"['p1', 'verse', 'v2', 'content']",to Kadesh Barnea
32,"['p1', 'verse', 'v2', 'note', 'f']","sn Kadesh Barnea. Possibly this refers to àAin Qudeis, about 50 mi (80 km) southwest of Beer Sheba, but more likely to àAin Qudeirat, 5 mi (8 km) NW of àAin Qudeis. See R. Cohen, “Did I Excavate Kadesh-Barnea?” BAR 7 (1981): 20-33."
33,"['p1', 'verse', 'v2', 'content']",by way of Mount Seir.
34,"['p1', 'verse', 'v2', 'note', 'f']",sn Mount Seir is synonymous with Edom. “By way of Mount Seir” refers to the route from Horeb that ended up in Edom Cf. CEV “by way of the Mount Seir Road”; TEV “by way of the hill country of Edom.”
36,"['p1', 'verse', 'v3', 'label']",3
37,"['p1', 'verse', 'v3', 'content']","However, it was not until"
38,"['p1', 'verse', 'v3', 'note', 'f']","tn Heb “in” or “on.” Here there is a contrast between the ordinary time of eleven days (v. 2) and the actual time of forty years, so “not until” brings out that vast disparity."
39,"['p1', 'verse', 'v3', 'content']",the first day of the eleventh month
40,"['p1', 'verse', 'v3', 'note', 'f']","sn The eleventh month is Shebat in the Hebrew calendar, January/February in the modern (Gregorian) calendar."
41,"['p1', 'verse', 'v3', 'content']",of the fortieth year
42,"['p1', 'verse', 'v3', 'note', 'f']","sn The fortieth year would be 1406 b.c. according to the “early” date of the exodus. See E. H. Merrill, Kingdom of Priests, 66-75."
43,"['p1', 'verse', 'v3', 'content']",that Moses addressed the Israelites just as
44,"['p1', 'verse', 'v3', 'note', 'f']",tn Heb “according to all which.”
45,"['p1', 'verse', 'v3', 'content']",the
46,"['p1', 'verse', 'v3', 'sc']",Lord
47,"['p1', 'verse', 'v3', 'content']",had instructed him to do.
48,"['p1', 'verse', 'v4', 'label']",4
49,"['p1', 'verse', 'v4', 'content']",This took place after the defeat
50,"['p1', 'verse', 'v4', 'note', 'f']",tn Heb “when he struck [or “smote”].”
51,"['p1', 'verse', 'v4', 'content']",of King Sihon
52,"['p1', 'verse', 'v4', 'note', 'f']",sn See Deut 2:26–3:22.
53,"['p1', 'verse', 'v4', 'content']","of the Amorites, whose capital was"
54,"['p1', 'verse', 'v4', 'note', 'f']",tn Heb “who lived.”
55,"['p1', 'verse', 'v4', 'content']","in Heshbon,"
56,"['p1', 'verse', 'v4', 'note', 'f']","sn Heshbon is probably modern Tell Hesban, about 7.5 mi (12 km) south southwest of Amman, Jordan."
57,"['p1', 'verse', 'v4', 'content']","and King Og of Bashan, whose capital was"
58,"['p1', 'verse', 'v4', 'note', 'f']",tn Heb “who lived.”
59,"['p1', 'verse', 'v4', 'content']","in Ashtaroth,"
60,"['p1', 'verse', 'v4', 'note', 'f']","sn Ashtaroth is probably Tell àAshtarah, about 22 mi (35 km) due east of the Sea of Galilee."
61,"['p1', 'verse', 'v4', 'content']",specifically in Edrei.
62,"['p1', 'verse', 'v4', 'note', 'f']","sn Edrei is probably modern Deràa, 60 mi (95 km) south of Damascus (see Num 21:33; Josh 12:4; 13:12, 31)."
64,"['p1', 'verse', 'v5', 'label']",5
65,"['p1', 'verse', 'v5', 'content']","So it was in the Transjordan, in Moab, that Moses began to deliver these words:"
66,"['p1', 'verse', 'v5', 'note', 'f']","tn Heb “this instruction”; KJV, NIV, NRSV “this law”; TEV “God’s laws and teachings.” The Hebrew noun תוֹרָה (torah) is derived from the verb יָרָה (yarah, “to teach”) and here it refers to the Book of Deuteronomy, not the Pentateuch as a whole."
67,"['s1', 'heading']",Events at Horeb
68,"['p2', 'verse', 'v6', 'label']",6
69,"['p2', 'verse', 'v6', 'content']",The
70,"['p2', 'verse', 'v6', 'sc']",Lord
71,"['p2', 'verse', 'v6', 'content']","our God spoke to us at Horeb and said, “You have stayed"
72,"['p2', 'verse', 'v6', 'note', 'f']",tn Heb “lived”; “dwelled.”
73,"['p2', 'verse', 'v6', 'content']",in the area of this mountain long enough.
74,"['p2', 'verse', 'v7', 'label']",7
75,"['p2', 'verse', 'v7', 'content']","Get up now,"
76,"['p2', 'verse', 'v7', 'note', 'f']","tn Heb “turn”; NAB “Leave here”; NIV, TEV “Break camp.”"
77,"['p2', 'verse', 'v7', 'content']","resume your journey, heading for"
78,"['p2', 'verse', 'v7', 'note', 'f']",tn Heb “go (to).”
79,"['p2', 'verse', 'v7', 'content']","the Amorite hill country, to all its areas"
80,"['p2', 'verse', 'v7', 'note', 'f']",tn Heb “its dwelling places.”
81,"['p2', 'verse', 'v7', 'content']","including the arid country,"
82,"['p2', 'verse', 'v7', 'note', 'f']","tn Heb “the Arabah” (so ASV, NAB, NIV, NRSV)."
83,"['p2', 'verse', 'v7', 'content']","the highlands, the Shephelah,"
84,"['p2', 'verse', 'v7', 'note', 'f']","tn Heb “lowlands” (so TEV) or “steppes”; NIV, CEV, NLT “the western foothills.”
sn The Shephelah is the geographical region between the Mediterranean coastal plain and the Judean hill country."
85,"['p2', 'verse', 'v7', 'content']","the Negev,"
86,"['p2', 'verse', 'v7', 'note', 'f']","sn The Hebrew term Negev means literally “desert” or “south” (so KJV, ASV). It refers to the area south of Beer Sheba and generally west of the Arabah Valley between the Dead Sea and the Gulf of Aqaba."
87,"['p2', 'verse', 'v7', 'content']","and the coastal plain – all of Canaan and Lebanon as far as the Great River, that is, the Euphrates."
88,"['p2', 'verse', 'v8', 'label']",8
89,"['p2', 'verse', 'v8', 'content']",Look! I have already given the land to you.
90,"['p2', 'verse', 'v8', 'note', 'f']",tn Heb “I have placed before you the land.”
91,"['p2', 'verse', 'v8', 'content']","Go, occupy the territory that I,"
92,"['p2', 'verse', 'v8', 'note', 'f']","tn Heb “the Lord.” Since the Lord is speaking, it is preferable for clarity to supply the first person pronoun in the translation."
93,"['p2', 'verse', 'v8', 'content']",the
94,"['p2', 'verse', 'v8', 'sc']",Lord
95,"['p2', 'verse', 'v8', 'content']",", promised"
96,"['p2', 'verse', 'v8', 'note', 'f']","tn Heb “swore” (so NAB, NIV, NRSV, NLT). This refers to God’s promise, made by solemn oath, to give the patriarchs the land."
97,"['p2', 'verse', 'v8', 'content']",to give to your ancestors
98,"['p2', 'verse', 'v8', 'note', 'f']","tn Heb “fathers” (also in vv. 11, 21, 35)."
99,"['p2', 'verse', 'v8', 'content']","Abraham, Isaac, and Jacob, and to their descendants.”"
100,"['p2', 'verse', 'v8', 'note', 'f']",tn Heb “their seed after them.”
102,"['p2', 'verse', 'v9', 'label']",9
103,"['p2', 'verse', 'v9', 'content']","I also said to you at that time, “I am no longer able to sustain you by myself."
104,"['p2', 'verse', 'v10', 'label']",10
105,"['p2', 'verse', 'v10', 'content']",The
106,"['p2', 'verse', 'v10', 'sc']",Lord
107,"['p2', 'verse', 'v10', 'content']",your God has increased your population
108,"['p2', 'verse', 'v10', 'note', 'f']",tn Heb “multiplied you.”
109,"['p2', 'verse', 'v10', 'content']",to the point that you are now as numerous as the very stars of the sky.
110,"['p2', 'verse', 'v10', 'note', 'f']",tn Or “heavens.” The Hebrew term שָׁמַיִם (shamayim) may be translated “heaven(s)” or “sky” depending on the context.
112,"['p2', 'verse', 'v11', 'label']",11
113,"['p2', 'verse', 'v11', 'content']","Indeed, may the"
114,"['p2', 'verse', 'v11', 'sc']",Lord
115,"['p2', 'verse', 'v11', 'content']",", the God of your ancestors, make you a thousand times more numerous than you are now, blessing you"
116,"['p2', 'verse', 'v11', 'note', 'f']",tn Heb “may he bless you.”
117,"['p2', 'verse', 'v11', 'content']",just as he said he would!
118,"['p2', 'verse', 'v12', 'label']",12
119,"['p2', 'verse', 'v12', 'content']",But how can I alone bear up under the burden of your hardship and strife?
120,"['p2', 'verse', 'v13', 'label']",13
121,"['p2', 'verse', 'v13', 'content']",Select wise and practical
122,"['p2', 'verse', 'v13', 'note', 'f']","tn The Hebrew verb נְבֹנִים (nÿvonim, from בִּין [bin]) is a Niphal referring to skill or intelligence (see T. Fretheim, NIDOTTE 1:652-53)."
123,"['p2', 'verse', 'v13', 'content']","men, those known among your tribes, whom I may appoint as your leaders.”"
124,"['p2', 'verse', 'v14', 'label']",14
125,"['p2', 'verse', 'v14', 'content']",You replied to me that what I had said to you was good.
126,"['p2', 'verse', 'v15', 'label']",15
127,"['p2', 'verse', 'v15', 'content']",So I chose
128,"['p2', 'verse', 'v15', 'note', 'f']",tn Or “selected”; Heb “took.”
129,"['p2', 'verse', 'v15', 'content']","as your tribal leaders wise and well-known men, placing them over you as administrators of groups of thousands, hundreds, fifties, and tens, and also as other tribal officials."
130,"['p2', 'verse', 'v16', 'label']",16
131,"['p2', 'verse', 'v16', 'content']",I furthermore admonished your judges at that time that they
132,"['p2', 'verse', 'v16', 'note', 'f']","tn Or “you.” A number of English versions treat the remainder of this verse and v. 17 as direct discourse rather than indirect discourse (cf. KJV, NAB, NIV, NRSV, NLT)."
133,"['p2', 'verse', 'v16', 'content']",should pay attention to issues among your fellow citizens
134,"['p2', 'verse', 'v16', 'note', 'f']","tn Heb “brothers.” The term “brothers” could, in English, be understood to refer to siblings, so “fellow citizens” has been used in the translation."
135,"['p2', 'verse', 'v16', 'content']","and judge fairly,"
136,"['p2', 'verse', 'v16', 'note', 'f']","tn The Hebrew word צֶדֶק (tsedeq, “fairly”) carries the basic idea of conformity to a norm of expected behavior or character, one established by God himself. Fair judgment adheres strictly to that norm or standard (see D. Reimer, NIDOTTE 3:750)."
137,"['p2', 'verse', 'v16', 'content']",whether between one citizen and another
138,"['p2', 'verse', 'v16', 'note', 'f']",tn Heb “between a man and his brother.”
139,"['p2', 'verse', 'v16', 'content']",or a citizen and a resident foreigner.
140,"['p2', 'verse', 'v16', 'note', 'f']","tn Heb “his stranger” or “his sojourner”; NAB, NIV “an alien”; NRSV “resident alien.” The Hebrew word גֵּר (ger) commonly means “foreigner.”"
142,"['p2', 'verse', 'v17', 'label']",17
143,"['p2', 'verse', 'v17', 'content']",They
144,"['p2', 'verse', 'v17', 'note', 'f']","tn Heb “you,” and throughout the verse (cf. NASB, NRSV)."
145,"['p2', 'verse', 'v17', 'content']","must not discriminate in judgment, but hear the lowly"
146,"['p2', 'verse', 'v17', 'note', 'f']","tn Heb “the small,” but referring to social status, not physical stature."
147,"['p2', 'verse', 'v17', 'content']","and the great alike. Nor should they be intimidated by human beings, for judgment belongs to God. If the matter being adjudicated is too difficult for them, they should bring it before me for a hearing."
148,"['s1', 'heading']",Instructions at Kadesh Barnea
149,"['p3', 'verse', 'v18', 'label']",18
150,"['p3', 'verse', 'v18', 'content']",So I instructed you at that time regarding everything you should do.
151,"['p3', 'verse', 'v19', 'label']",19
152,"['p3', 'verse', 'v19', 'content']","Then we left Horeb and passed through all that immense, forbidding wilderness that you saw on the way to the Amorite hill country as the"
153,"['p3', 'verse', 'v19', 'sc']",Lord
154,"['p3', 'verse', 'v19', 'content']","our God had commanded us to do, finally arriving at Kadesh Barnea."
155,"['p3', 'verse', 'v20', 'label']",20
156,"['p3', 'verse', 'v20', 'content']","Then I said to you, “You have come to the Amorite hill country which the"
157,"['p3', 'verse', 'v20', 'sc']",Lord
158,"['p3', 'verse', 'v20', 'content']",our God is about to give
159,"['p3', 'verse', 'v20', 'note', 'f']","tn The Hebrew participle has an imminent future sense here, although many English versions treat it as a present tense (“is giving us,” NAB, NIV, NRSV) or a predictive future (“will give us,” NCV)."
160,"['p3', 'verse', 'v20', 'content']",us.
161,"['p3', 'verse', 'v21', 'label']",21
162,"['p3', 'verse', 'v21', 'content']","Look, he"
163,"['p3', 'verse', 'v21', 'note', 'f']","tn Heb “the Lord your God.” The pronoun (“he”) has been used in the translation for stylistic reasons, to avoid repetition."
164,"['p3', 'verse', 'v21', 'content']",has placed the land in front of you!
165,"['p3', 'verse', 'v21', 'note', 'f']","tn Or “has given you the land” (cf. NAB, NIV, NRSV)."
166,"['p3', 'verse', 'v21', 'content']","Go up, take possession of it, just as the"
167,"['p3', 'verse', 'v21', 'sc']",Lord
168,"['p3', 'verse', 'v21', 'content']",", the God of your ancestors, said to do. Do not be afraid or discouraged!”"
169,"['p3', 'verse', 'v22', 'label']",22
170,"['p3', 'verse', 'v22', 'content']","So all of you approached me and said, “Let’s send some men ahead of us to scout out the land and bring us back word as to how we should attack it and what the cities are like there.”"
171,"['p3', 'verse', 'v23', 'label']",23
172,"['p3', 'verse', 'v23', 'content']","I thought this was a good idea,"
173,"['p3', 'verse', 'v23', 'note', 'f']",tn Heb “the thing was good in my eyes.”
174,"['p3', 'verse', 'v23', 'content']",so I sent
175,"['p3', 'verse', 'v23', 'note', 'f']","tn Or “selected” (so NIV, NRSV, TEV); Heb “took.”"
176,"['p3', 'verse', 'v23', 'content']","twelve men from among you, one from each tribe."
177,"['p3', 'verse', 'v24', 'label']",24
178,"['p3', 'verse', 'v24', 'content']","They left and went up to the hill country, coming to the Eshcol Valley,"
179,"['p3', 'verse', 'v24', 'note', 'f']","tn Or “the Wadi Eshcol” (so NAB).
sn The Eshcol Valley is a verdant valley near Hebron, still famous for its viticulture (cf. Num 13:22-23). The Hebrew name “Eshcol” means “trestle,” that is, the frame on which grape vines grow."
180,"['p3', 'verse', 'v24', 'content']",which they scouted out.
181,"['p3', 'verse', 'v25', 'label']",25
182,"['p3', 'verse', 'v25', 'content']",Then they took
183,"['p3', 'verse', 'v25', 'note', 'f']","tn The Hebrew text includes “in their hand,” which is unnecessary and somewhat redundant in English style."
184,"['p3', 'verse', 'v25', 'content']","some of the produce of the land and carried it back down to us. They also brought a report to us, saying, “The land that the"
185,"['p3', 'verse', 'v25', 'sc']",Lord
186,"['p3', 'verse', 'v25', 'content']",our God is about to give us is good.”
187,"['s1', 'heading']",Disobedience at Kadesh Barnea
188,"['p4', 'verse', 'v26', 'label']",26
189,"['p4', 'verse', 'v26', 'content']","You were not willing to go up, however, but instead rebelled against the"
190,"['p4', 'verse', 'v26', 'sc']",Lord
191,"['p4', 'verse', 'v26', 'content']",your God.
192,"['p4', 'verse', 'v26', 'note', 'f']","tn Heb “the mouth of the Lord your God.” To include “the mouth” would make for odd English style. The mouth stands by metonymy for the Lord’s command, which in turn represents the Lord himself."
194,"['p4', 'verse', 'v27', 'label']",27
195,"['p4', 'verse', 'v27', 'content']",You complained among yourselves privately
196,"['p4', 'verse', 'v27', 'note', 'f']","tn Heb “in your tents,” that is, privately."
197,"['p4', 'verse', 'v27', 'content']","and said, “Because the"
198,"['p4', 'verse', 'v27', 'sc']",Lord
199,"['p4', 'verse', 'v27', 'content']",hates us he brought us from Egypt to deliver us over to the Amorites so they could destroy us!
200,"['p4', 'verse', 'v28', 'label']",28
201,"['p4', 'verse', 'v28', 'content']",What is going to happen to us? Our brothers have drained away our courage
202,"['p4', 'verse', 'v28', 'note', 'f']",tn Heb “have caused our hearts to melt.”
203,"['p4', 'verse', 'v28', 'content']",by describing people who are more numerous
204,"['p4', 'verse', 'v28', 'note', 'f']","tn Heb “greater.” Many English versions understand this to refer to physical size or strength rather than numbers (cf. “stronger,” NAB, NIV, NRSV; “bigger,” NASB)."
205,"['p4', 'verse', 'v28', 'content']","and taller than we are, and great cities whose defenses appear to be as high as heaven"
