id,tag,text
0,['label'],27
1,"['s1', 'heading']",The Altar
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']",“You are to make the
4,"['p1', 'verse', 'v1', 'note', 'f']","tn The article on this word identifies this as the altar, meaning the main high altar on which the sacrifices would be made."
5,"['p1', 'verse', 'v1', 'content']","altar of acacia wood, seven feet six inches long,"
6,"['p1', 'verse', 'v1', 'note', 'f']",tn The dimensions are five cubits by five cubits by three cubits high.
7,"['p1', 'verse', 'v1', 'content']","and seven feet six inches wide; the altar is to be square,"
8,"['p1', 'verse', 'v1', 'note', 'f']","tn Heb “four”; this refers to four sides. S. R. Driver says this is an archaism that means there were four equal sides (Exodus, 291)."
9,"['p1', 'verse', 'v1', 'content']",and its height is to be
10,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “and three cubits its height.”
11,"['p1', 'verse', 'v1', 'content']",four feet six inches.
12,"['p1', 'verse', 'v2', 'label']",2
13,"['p1', 'verse', 'v2', 'content']",You are to make its four horns
14,"['p1', 'verse', 'v2', 'note', 'f']","sn The horns of the altar were indispensable – they were the most sacred part. Blood was put on them; fugitives could cling to them, and the priests would grab the horns of the little altar when making intercessory prayer. They signified power, as horns on an animal did in the wild (and so the word was used for kings as well). The horns may also represent the sacrificial animals killed on the altar."
15,"['p1', 'verse', 'v2', 'content']","on its four corners; its horns will be part of it,"
16,"['p1', 'verse', 'v2', 'note', 'f']","sn The text, as before, uses the prepositional phrase “from it” or “part of it” to say that the horns will be part of the altar – of the same piece as the altar. They were not to be made separately and then attached, but made at the end of the boards used to build the altar (U. Cassuto, Exodus, 363)."
17,"['p1', 'verse', 'v2', 'content']",and you are to overlay it with bronze.
18,"['p1', 'verse', 'v3', 'label']",3
19,"['p1', 'verse', 'v3', 'content']","You are to make its pots for the ashes,"
20,"['p1', 'verse', 'v3', 'note', 'f']","sn The word is literally “its fat,” but sometimes it describes “fatty ashes” (TEV “the greasy ashes”). The fat would run down and mix with the ashes, and this had to be collected and removed."
21,"['p1', 'verse', 'v3', 'content']","its shovels, its tossing bowls,"
22,"['p1', 'verse', 'v3', 'note', 'f']",sn This was the larger bowl used in tossing the blood at the side of the altar.
23,"['p1', 'verse', 'v3', 'content']","its meat hooks, and its fire pans – you are to make all"
24,"['p1', 'verse', 'v3', 'note', 'f']","tn The text has “to all its vessels.” This is the lamed (ל) of inclusion according to Gesenius, meaning “all its utensils” (GKC 458 §143.e)."
25,"['p1', 'verse', 'v3', 'content']",its utensils of bronze.
26,"['p1', 'verse', 'v4', 'label']",4
27,"['p1', 'verse', 'v4', 'content']",You are to make a grating
28,"['p1', 'verse', 'v4', 'note', 'f']","tn The noun מִכְבָּר (mikhbar) means “a grating”; it is related to the word that means a “sieve.” This formed a vertical support for the ledge, resting on the ground and supporting its outer edge (S. R. Driver, Exodus, 292)."
29,"['p1', 'verse', 'v4', 'content']","for it, a network of bronze, and you are to make on the network four bronze rings on its four corners."
30,"['p1', 'verse', 'v5', 'label']",5
31,"['p1', 'verse', 'v5', 'content']","You are to put it under the ledge of the altar below, so that the network will come"
32,"['p1', 'verse', 'v5', 'note', 'f']","tn The verb is the verb “to be,” here the perfect tense with vav (ו) consecutive. It is “and it will be” or “that it may be,” or here “that it may come” halfway up."
33,"['p1', 'verse', 'v5', 'content']",halfway up the altar.
34,"['p1', 'verse', 'v5', 'note', 'f']",tn Heb “to the half of the altar.”
36,"['p1', 'verse', 'v6', 'label']",6
37,"['p1', 'verse', 'v6', 'content']","You are to make poles for the altar, poles of acacia wood, and you are to overlay them with bronze."
38,"['p1', 'verse', 'v7', 'label']",7
39,"['p1', 'verse', 'v7', 'content']",The poles are to be put
40,"['p1', 'verse', 'v7', 'note', 'f']","tn The verb is a Hophal perfect with vav consecutive: וְהוּבָא (vÿhuva’, “and it will be brought”). The particle אֶת (’et) here introduces the subject of the passive verb (see a similar use in 21:28, “and its flesh will not be eaten”)."
41,"['p1', 'verse', 'v7', 'content']",into the rings so that the poles will be on two sides of the altar when carrying it.
42,"['p1', 'verse', 'v7', 'note', 'f']","tn The construction is the infinitive construct with bet (ב) preposition: “in carrying it.” Here the meaning must be that the poles are not left in the rings, but only put into the rings when they carried it."
44,"['p1', 'verse', 'v8', 'label']",8
45,"['p1', 'verse', 'v8', 'content']","You are to make the altar hollow, out of boards. Just as it was shown you"
46,"['p1', 'verse', 'v8', 'note', 'f']",tn The verb is used impersonally; it reads “just as he showed you.” This form then can be made a passive in the translation.
47,"['p1', 'verse', 'v8', 'content']","on the mountain, so they must make it."
48,"['p1', 'verse', 'v8', 'note', 'f']","tn Heb “thus they will make.” Here too it could be given a passive translation since the subject is not expressed. But “they” would normally refer to the people who will be making this and so can be retained in the translation.
sn Nothing is said about the top of the altar. Some commentators suggest, in view of the previous instruction for making an altar out of earth and stone, that when this one was to be used it would be filled up with dirt clods and the animal burnt on the top of that. If the animal was burnt inside it, the wood would quickly burn. A number of recent scholars think this was simply an imagined plan to make a portable altar after the pattern of Solomon’s – but that is an unsatisfactory suggestion. This construction must simply represent a portable frame for the altar in the courtyard, an improvement over the field altar. The purpose and function of the altar are not in question. Here worshipers would make their sacrifices to God in order to find forgiveness and atonement, and in order to celebrate in worship with him. No one could worship God apart from this; no one could approach God apart from this. So too the truths that this altar communicated form the basis and center of all Christian worship. One could word an applicable lesson this way: Believers must ensure that the foundation and center of their worship is the altar, i.e., the sacrificial atonement."
49,"['s1', 'heading']",The Courtyard
50,"['p2', 'verse', 'v9', 'label']",9
51,"['p2', 'verse', 'v9', 'content']",“You are to make the courtyard
52,"['p2', 'verse', 'v9', 'note', 'f']",tn Or “enclosure” (TEV).
53,"['p2', 'verse', 'v9', 'content']",of the tabernacle. For the south side
54,"['p2', 'verse', 'v9', 'note', 'f']",tn Heb “south side southward.”
55,"['p2', 'verse', 'v9', 'content']",there are to be hangings
56,"['p2', 'verse', 'v9', 'note', 'f']",tn Or “curtains.”
57,"['p2', 'verse', 'v9', 'content']","for the courtyard of fine twisted linen, one hundred fifty feet long for one side,"
58,"['p2', 'verse', 'v9', 'note', 'f']",sn The entire courtyard of 150 feet by 75 feet was to be enclosed by a curtain wall held up with posts in bases. All these hangings were kept in place by a cord and tent pegs.
60,"['p2', 'verse', 'v10', 'label']",10
61,"['p2', 'verse', 'v10', 'content']",with
62,"['p2', 'verse', 'v10', 'note', 'f']",tn Heb “and.”
63,"['p2', 'verse', 'v10', 'content']","twenty posts and their twenty bronze bases, with the hooks of the posts and their bands of silver."
64,"['p2', 'verse', 'v11', 'label']",11
65,"['p2', 'verse', 'v11', 'content']",Likewise
66,"['p2', 'verse', 'v11', 'note', 'f']",tn Heb “and thus.”
67,"['p2', 'verse', 'v11', 'content']","for its length on the north side, there are to be"
68,"['p2', 'verse', 'v11', 'note', 'f']",tn Here the phrase “there will be” has been supplied.
69,"['p2', 'verse', 'v11', 'content']","hangings for one hundred fifty feet, with twenty posts and their twenty bronze bases, with silver hooks and bands"
70,"['p2', 'verse', 'v11', 'note', 'f']",sn These bands have been thought by some to refer to connecting rods joining the tops of the posts. But it is more likely that they are bands or bind rings surrounding the posts at the base of the capitals (see 38:17).
71,"['p2', 'verse', 'v11', 'content']",on the posts.
72,"['p2', 'verse', 'v12', 'label']",12
73,"['p2', 'verse', 'v12', 'content']","The width of the court on the west side is to be seventy-five feet with hangings, with their ten posts and their ten bases."
74,"['p2', 'verse', 'v13', 'label']",13
75,"['p2', 'verse', 'v13', 'content']","The width of the court on the east side, toward the sunrise, is to be seventy-five feet."
76,"['p2', 'verse', 'v14', 'label']",14
77,"['p2', 'verse', 'v14', 'content']",The hangings on one side
78,"['p2', 'verse', 'v14', 'note', 'f']","tn The word literally means “shoulder.” The next words, “of the gate,” have been supplied here and in v. 15. The east end would contain the courtyard’s entry with a wall of curtains on each side of the entry (see v. 16)."
79,"['p2', 'verse', 'v14', 'content']",of the gate are to be
80,"['p2', 'verse', 'v14', 'note', 'f']",tn Here “will be” has been supplied.
81,"['p2', 'verse', 'v14', 'content']","twenty-two and a half feet long, with their three posts and their three bases."
82,"['p2', 'verse', 'v15', 'label']",15
83,"['p2', 'verse', 'v15', 'content']",On the second side
84,"['p2', 'verse', 'v15', 'note', 'f']",tn Heb “shoulder.”
85,"['p2', 'verse', 'v15', 'content']",there are to be
86,"['p2', 'verse', 'v15', 'note', 'f']",tn Here the phrase “there will be” has been supplied.
87,"['p2', 'verse', 'v15', 'content']","hangings twenty-two and a half feet long, with their three posts and their three bases."
88,"['p2', 'verse', 'v16', 'label']",16
89,"['p2', 'verse', 'v16', 'content']","For the gate of the courtyard there is to be a curtain of thirty feet, of blue, purple, and scarlet yarn and fine twined linen, the work of an embroiderer, with four posts and their four bases."
90,"['p2', 'verse', 'v17', 'label']",17
91,"['p2', 'verse', 'v17', 'content']",All the posts around the courtyard are to have silver bands;
92,"['p2', 'verse', 'v17', 'note', 'f']",tn The text uses the passive participle here: they are to “be filleted with silver” or “bound round” with silver.
93,"['p2', 'verse', 'v17', 'content']",their hooks are to be
94,"['p2', 'verse', 'v17', 'note', 'f']",tn Here the phrase “are to be” has been supplied.
95,"['p2', 'verse', 'v17', 'content']","silver, and their bases bronze."
96,"['p2', 'verse', 'v18', 'label']",18
97,"['p2', 'verse', 'v18', 'content']",The length of the courtyard is to be one hundred fifty feet
98,"['p2', 'verse', 'v18', 'note', 'f']",tn Heb “a hundred cubits.”
99,"['p2', 'verse', 'v18', 'content']","and the width seventy-five feet,"
100,"['p2', 'verse', 'v18', 'note', 'f']",tn Heb “fifty.” The text has “and the width fifty [cubits] with fifty.” This means that it is fifty cubits wide on the western end and fifty cubits wide on the eastern end.
101,"['p2', 'verse', 'v18', 'content']",and the height of the fine twisted linen hangings
102,"['p2', 'verse', 'v18', 'note', 'f']",tn Here “hangings” has been supplied.
103,"['p2', 'verse', 'v18', 'content']",is to be
