id,tag,text
0,['label'],48
1,"['s1', 'heading']",Manasseh and Ephraim
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']","After these things Joseph was told,"
4,"['p1', 'verse', 'v1', 'note', 'f']","tn Heb “and one said.” With no expressed subject in the Hebrew text, the verb can be translated with the passive voice."
5,"['p1', 'verse', 'v1', 'content']",“Your father is weakening.” So he took his two sons Manasseh and Ephraim with him.
6,"['p1', 'verse', 'v2', 'label']",2
7,"['p1', 'verse', 'v2', 'content']","When Jacob was told,"
8,"['p1', 'verse', 'v2', 'note', 'f']",tn Heb “and one told and said.” The verbs have no expressed subject and can be translated with the passive voice.
9,"['p1', 'verse', 'v2', 'content']",“Your son Joseph has just
10,"['p1', 'verse', 'v2', 'note', 'f']","tn Heb “Look, your son Joseph.”"
11,"['p1', 'verse', 'v2', 'content']","come to you,” Israel regained strength and sat up on his bed."
12,"['p1', 'verse', 'v3', 'label']",3
13,"['p1', 'verse', 'v3', 'content']","Jacob said to Joseph, “The sovereign God"
14,"['p1', 'verse', 'v3', 'note', 'f']",tn Heb “El Shaddai.” See the extended note on the phrase “sovereign God” in Gen 17:1.
15,"['p1', 'verse', 'v3', 'content']",appeared to me at Luz in the land of Canaan and blessed me.
16,"['p1', 'verse', 'v4', 'label']",4
17,"['p1', 'verse', 'v4', 'content']","He said to me, ‘I am going to make you fruitful"
18,"['p1', 'verse', 'v4', 'note', 'f']","tn Heb “Look, I am making you fruitful.” The participle following הִנֵּה (hinneh) has the nuance of a certain and often imminent future."
19,"['p1', 'verse', 'v4', 'content']",and will multiply you.
20,"['p1', 'verse', 'v4', 'note', 'f']",tn The perfect verbal form with vav consecutive carries on the certain future idea.
21,"['p1', 'verse', 'v4', 'content']","I will make you into a group of nations, and I will give this land to your descendants"
22,"['p1', 'verse', 'v4', 'note', 'f']","tn The Hebrew text adds “after you,” which has not been included in the translation for stylistic reasons."
23,"['p1', 'verse', 'v4', 'content']",as an everlasting possession.’
24,"['p1', 'verse', 'v4', 'note', 'f']","tn The Hebrew word אֲחֻזָּה (’akhuzzah), translated “possession,” describes a permanent holding in the land. It is the noun form of the same verb (אָחַז, ’akhaz) that was used for the land given to them in Goshen (Gen 47:27)."
25,"['p2', 'verse', 'v5', 'label']",5
26,"['p2', 'verse', 'v5', 'content']","“Now, as for your two sons, who were born to you in the land of Egypt before I came to you in Egypt, they will be mine."
27,"['p2', 'verse', 'v5', 'note', 'f']","sn They will be mine. Jacob is here adopting his two grandsons Manasseh and Ephraim as his sons, and so they will have equal share with the other brothers. They will be in the place of Joseph and Levi (who will become a priestly tribe) in the settlement of the land. See I. Mendelsohn, “A Ugaritic Parallel to the Adoption of Ephraim and Manasseh,” IEJ (1959): 180-83."
28,"['p2', 'verse', 'v5', 'content']",Ephraim and Manasseh will be mine just as Reuben and Simeon are.
29,"['p2', 'verse', 'v6', 'label']",6
30,"['p2', 'verse', 'v6', 'content']",Any children that you father
31,"['p2', 'verse', 'v6', 'note', 'f']",tn Or “you fathered.”
32,"['p2', 'verse', 'v6', 'content']",after them will be yours; they will be listed
33,"['p2', 'verse', 'v6', 'note', 'f']",tn Heb “called” or “named.”
34,"['p2', 'verse', 'v6', 'content']",under the names of their brothers in their inheritance.
35,"['p2', 'verse', 'v6', 'note', 'f']",sn Listed under the names of their brothers in their inheritance. This means that any subsequent children of Joseph will be incorporated into the tribes of Ephraim and Manasseh.
37,"['p2', 'verse', 'v7', 'label']",7
38,"['p2', 'verse', 'v7', 'content']","But as for me, when I was returning from Paddan, Rachel died – to my sorrow"
39,"['p2', 'verse', 'v7', 'note', 'f']","tn Heb “upon me, against me,” which might mean something like “to my sorrow.”"
40,"['p2', 'verse', 'v7', 'content']","– in the land of Canaan. It happened along the way, some distance from Ephrath. So I buried her there on the way to Ephrath” (that is, Bethlehem)."
41,"['p2', 'verse', 'v7', 'note', 'f']",map For location see Map5-B1; Map7-E2; Map8-E2; Map10-B4.
43,"['p3', 'verse', 'v8', 'label']",8
44,"['p3', 'verse', 'v8', 'content']","When Israel saw Joseph’s sons, he asked, “Who are these?”"
45,"['p3', 'verse', 'v9', 'label']",9
46,"['p3', 'verse', 'v9', 'content']","Joseph said to his father, “They are the"
47,"['p3', 'verse', 'v9', 'note', 'f']",tn Heb “my.”
48,"['p3', 'verse', 'v9', 'content']",sons God has given me in this place.” His father
49,"['p3', 'verse', 'v9', 'note', 'f']",tn Heb “and he”; the referent (Joseph’s father) has been specified in the translation for clarity.
50,"['p3', 'verse', 'v9', 'content']","said, “Bring them to me so I may bless them.”"
51,"['p3', 'verse', 'v9', 'note', 'f']",tn The cohortative with prefixed vav (ו) indicates purpose after the imperative.
53,"['p3', 'verse', 'v10', 'label']",10
54,"['p3', 'verse', 'v10', 'content']",Now Israel’s eyes were failing
55,"['p3', 'verse', 'v10', 'note', 'f']","tn Heb “heavy.”
sn The disjunctive clause provides supplemental information that is important to the story. The weakness of Israel’s sight is one of several connections between this chapter and Gen 27. Here there are two sons, and it appears that the younger is being blessed over the older by a blind old man. While it was by Jacob’s deception in chap. 27, here it is with Jacob’s full knowledge."
56,"['p3', 'verse', 'v10', 'content']",because of his age; he was not able to see well. So Joseph
57,"['p3', 'verse', 'v10', 'note', 'f']",tn Heb “he”; the referent (Joseph) has been specified in the translation for clarity.
58,"['p3', 'verse', 'v10', 'content']",brought his sons
59,"['p3', 'verse', 'v10', 'note', 'f']",tn Heb “them”; the referent (Joseph’s sons) has been specified in the translation for clarity.
60,"['p3', 'verse', 'v10', 'content']","near to him, and his father"
61,"['p3', 'verse', 'v10', 'note', 'f']",tn Heb “and he”; the referent (Joseph’s father) has been specified in the translation for clarity.
62,"['p3', 'verse', 'v10', 'content']",kissed them and embraced them.
63,"['p3', 'verse', 'v11', 'label']",11
64,"['p3', 'verse', 'v11', 'content']","Israel said to Joseph, “I never expected"
65,"['p3', 'verse', 'v11', 'note', 'f']","tn On the meaning of the Hebrew verb פָּלַל (palal) here, see E. A. Speiser, “The Stem pll in Hebrew,” JBL 82 (1963): 301-6. Speiser argues that this verb means “to estimate” as in Exod 21:22."
66,"['p3', 'verse', 'v11', 'content']",to see you
67,"['p3', 'verse', 'v11', 'note', 'f']",tn Heb “your face.”
68,"['p3', 'verse', 'v11', 'content']","again, but now God has allowed me to see your children"
69,"['p3', 'verse', 'v11', 'note', 'f']",tn Heb “offspring.”
70,"['p3', 'verse', 'v11', 'content']",too.”
71,"['p4', 'verse', 'v12', 'label']",12
72,"['p4', 'verse', 'v12', 'content']",So Joseph moved them from Israel’s knees
73,"['p4', 'verse', 'v12', 'note', 'f']",tn Heb “and Joseph brought them out from with his knees.” The two boys had probably been standing by Israel’s knees when being adopted and blessed. The referent of the pronoun “his” (Israel) has been specified in the translation for clarity.
74,"['p4', 'verse', 'v12', 'content']",and bowed down with his face to the ground.
75,"['p4', 'verse', 'v13', 'label']",13
76,"['p4', 'verse', 'v13', 'content']",Joseph positioned them;
77,"['p4', 'verse', 'v13', 'note', 'f']",tn Heb “and Joseph took the two of them.”
78,"['p4', 'verse', 'v13', 'content']","he put Ephraim on his right hand across from Israel’s left hand, and Manasseh on his left hand across from Israel’s right hand. Then Joseph brought them closer to his father."
79,"['p4', 'verse', 'v13', 'note', 'f']",tn Heb “and he brought near to him.” The referents of the pronouns “he” and “him” (Joseph and his father respectively) have been specified in the translation for clarity.
81,"['p4', 'verse', 'v14', 'label']",14
82,"['p4', 'verse', 'v14', 'content']","Israel stretched out his right hand and placed it on Ephraim’s head, although he was the younger."
83,"['p4', 'verse', 'v14', 'note', 'f']",tn The disjunctive clause is circumstantial-concessive here.
84,"['p4', 'verse', 'v14', 'content']","Crossing his hands, he put his left hand on Manasseh’s head, for Manasseh was the firstborn."
85,"['p5', 'verse', 'v15', 'label']",15
