id,tag,text
0,['label'],20
1,"['s1', 'heading']",Israel Designates Cities of Refuge
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']",The
4,"['p1', 'verse', 'v1', 'sc']",Lord
5,"['p1', 'verse', 'v1', 'content']",instructed Joshua:
6,"['p1', 'verse', 'v2', 'label']",2
7,"['p1', 'verse', 'v2', 'content']",“Have the Israelites select
8,"['p1', 'verse', 'v2', 'note', 'f']","tn Heb “Say to the sons of Israel, ‘Set aside for yourselves.’”"
9,"['p1', 'verse', 'v2', 'content']",the cities of refuge
10,"['p1', 'verse', 'v2', 'note', 'f']",tn Or “asylum.”
11,"['p1', 'verse', 'v2', 'content']",that I told you about through Moses.
12,"['p1', 'verse', 'v3', 'label']",3
13,"['p1', 'verse', 'v3', 'content']",Anyone who accidentally kills someone can escape there;
14,"['p1', 'verse', 'v3', 'note', 'f']","tn Heb “so that the one who kills, taking life accidentally without knowledge, may flee there.”"
15,"['p1', 'verse', 'v3', 'content']",these cities will be a place of asylum from the avenger of blood.
16,"['p1', 'verse', 'v4', 'label']",4
17,"['p1', 'verse', 'v4', 'content']",The one who committed manslaughter
18,"['p1', 'verse', 'v4', 'note', 'f']","tn Heb “he”; the referent (the one who accidentally kills another, cf. v. 2) has been specified in the translation for clarity."
19,"['p1', 'verse', 'v4', 'content']","should escape to one of these cities, stand at the entrance of the city gate, and present his case to the leaders of that city."
20,"['p1', 'verse', 'v4', 'note', 'f']",tn Heb “and speak into the ears of the elders of that city his words.”
21,"['p1', 'verse', 'v4', 'content']","They should then bring him into the city, give him a place to stay, and let him live there."
22,"['p1', 'verse', 'v4', 'note', 'f']","tn Heb “and they should gather him into the city to themselves, give to him a place, and he will live with them.”"
24,"['p1', 'verse', 'v5', 'label']",5
25,"['p1', 'verse', 'v5', 'content']","When the avenger of blood comes after him, they must not hand over to him the one who committed manslaughter, for he accidentally killed his fellow man without premeditation."
26,"['p1', 'verse', 'v5', 'note', 'f']","tn Heb “for without knowledge he killed his neighbor, and he was not hating him prior to that.”"
28,"['p1', 'verse', 'v6', 'label']",6
29,"['p1', 'verse', 'v6', 'content']",He must remain
30,"['p1', 'verse', 'v6', 'note', 'f']",tn Or “live.”
31,"['p1', 'verse', 'v6', 'content']",in that city until his case is decided by the assembly
32,"['p1', 'verse', 'v6', 'note', 'f']",tn Heb “until he stands before the assembly for judgment.”
33,"['p1', 'verse', 'v6', 'content']",and the high priest dies.
34,"['p1', 'verse', 'v6', 'note', 'f']",tn Heb “until the death of the high priest who is in those days.”
35,"['p1', 'verse', 'v6', 'content']",Then the one who committed manslaughter may return home to the city from which he escaped.”
36,"['p1', 'verse', 'v6', 'note', 'f']","tn Heb “may return and enter his city and his house, the city from which he escaped.”"
37,"['p2', 'verse', 'v7', 'label']",7
38,"['p2', 'verse', 'v7', 'content']",So they selected
39,"['p2', 'verse', 'v7', 'note', 'f']",tn Heb “set apart.”
40,"['p2', 'verse', 'v7', 'content']","Kedesh in Galilee in the hill country of Naphtali, Shechem in the hill country of Ephraim, and Kiriath Arba (that is, Hebron) in the hill country of Judah."
41,"['p2', 'verse', 'v8', 'label']",8
42,"['p2', 'verse', 'v8', 'content']",Beyond the Jordan east of Jericho
43,"['p2', 'verse', 'v8', 'note', 'f']",map For the location of Jericho see Map5-B2; Map6-E1; Map7-E1; Map8-E3; Map10-A2; Map11-A1.
44,"['p2', 'verse', 'v8', 'content']",they selected
45,"['p2', 'verse', 'v8', 'note', 'f']",tn Or “set aside.”
46,"['p2', 'verse', 'v8', 'content']","Bezer in the desert on the plain belonging to the tribe of Reuben, Ramoth in Gilead belonging to the tribe of Gad, and Golan in Bashan belonging to the tribe of Manasseh."
47,"['p2', 'verse', 'v9', 'label']",9
48,"['p2', 'verse', 'v9', 'content']",These were the cities of refuge
49,"['p2', 'verse', 'v9', 'note', 'f']",tn The Hebrew text reads simply “the cities.” The words “for refuge” are supplied for clarification.
50,"['p2', 'verse', 'v9', 'content']",appointed for all the Israelites and for resident foreigners living among them. Anyone who accidentally killed someone could escape there and not be executed by
51,"['p2', 'verse', 'v9', 'note', 'f']",tn Heb “and not die by the hand of.”
52,"['p2', 'verse', 'v9', 'content']","the avenger of blood, at least until his case was reviewed by the assembly."
53,"['p2', 'verse', 'v9', 'note', 'f']",tn Heb “until he stands before the assembly.” The words “at least” are supplied for clarification.
