id,tag,text
0,['label'],21
1,"['s1', 'heading']",Rules for the Priests
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']",The
4,"['p1', 'verse', 'v1', 'sc']",Lord
5,"['p1', 'verse', 'v1', 'content']","said to Moses: “Say to the priests, the sons of Aaron – say to them, ‘For a dead person"
6,"['p1', 'verse', 'v1', 'note', 'f']","tn The Hebrew term נֶפֶשׁ (nefesh, “soul, person, life”) can sometimes refer to a “dead person” (cf. Lev 19:28 above and the literature cited there)."
7,"['p1', 'verse', 'v1', 'content']",no priest
8,"['p1', 'verse', 'v1', 'note', 'f']","tn Heb “no one,” but “priest” has been used in the translation to clarify that these restrictions are limited to the priests, not to the Israelites in general (note the introductory formula, “say to the priests, the sons of Aaron”)."
9,"['p1', 'verse', 'v1', 'content']","is to defile himself among his people,"
10,"['p1', 'verse', 'v1', 'note', 'f']","tc The MT has “in his peoples,” but Smr, LXX, Syriac, Targum, and Tg. Ps.-J. have “in his people,” referring to the Israelites as a whole."
12,"['p1', 'verse', 'v2', 'label']",2
13,"['p1', 'verse', 'v2', 'content']",except for his close relative who is near to him:
14,"['p1', 'verse', 'v2', 'note', 'f']","tn Heb “except for his flesh, the one near to him.”"
15,"['p1', 'verse', 'v2', 'content']","his mother, his father, his son, his daughter, his brother,"
16,"['p1', 'verse', 'v3', 'label']",3
17,"['p1', 'verse', 'v3', 'content']","and his virgin sister who is near to him,"
18,"['p1', 'verse', 'v3', 'note', 'f']",tn Cf. v. 2a.
19,"['p1', 'verse', 'v3', 'content']",who has no husband; he may defile himself for her.
20,"['p1', 'verse', 'v4', 'label']",4
21,"['p1', 'verse', 'v4', 'content']",He must not defile himself as a husband among his people so as to profane himself.
22,"['p1', 'verse', 'v4', 'note', 'f']","tn Heb “He shall not defile himself a husband in his peoples, to profane himself.” The meaning of the line is disputed, but it appears to prohibit a priest from burying any relative by marriage (as opposed to the blood relatives of vv. 2-3), including his wife (compare B. A. Levine, Leviticus [JPSTC], 142-43 with J. E. Hartley, Leviticus [WBC], 343, 348)."
24,"['p1', 'verse', 'v5', 'label']",5
25,"['p1', 'verse', 'v5', 'content']",Priests
26,"['p1', 'verse', 'v5', 'note', 'f']","tn Heb “they”; the referent (priests, see the beginning of v. 1) has been specified in the translation for clarity."
27,"['p1', 'verse', 'v5', 'content']","must not have a bald spot shaved on their head, they must not shave the corner of their beard, and they must not cut slashes in their body."
28,"['p1', 'verse', 'v5', 'note', 'f']",tn Heb “and in their body they shall not [cut] slash[es]” (cf. Lev 19:28). The context connects these sorts of mutilations with mourning rites (cf. Lev 19:27-28 above).
29,"['p2', 'verse', 'v6', 'label']",6
30,"['p2', 'verse', 'v6', 'content']","“‘They must be holy to their God, and they must not profane"
31,"['p2', 'verse', 'v6', 'note', 'f']","sn Regarding “profane,” see the note on Lev 10:10 above."
32,"['p2', 'verse', 'v6', 'content']","the name of their God, because they are the ones who present the"
33,"['p2', 'verse', 'v6', 'sc']",Lord
34,"['p2', 'verse', 'v6', 'content']","’s gifts,"
35,"['p2', 'verse', 'v6', 'note', 'f']","sn Regarding the Hebrew term for “gifts,” see the note on Lev 1:9 above (cf. also 3:11 and 16 in combination with the word for “food” that follows in the next phrase here)."
36,"['p2', 'verse', 'v6', 'content']",the food of their God. Therefore they must be holy.
37,"['p2', 'verse', 'v6', 'note', 'f']",tc Smr and all early versions have the plural adjective “holy” rather than the MT singular noun “holiness.”
39,"['p2', 'verse', 'v7', 'label']",7
40,"['p2', 'verse', 'v7', 'content']","They must not take a wife defiled by prostitution,"
