id,tag,text
0,['label'],7
1,"['s1', 'heading']",The Leader’s Offerings
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'note', 'f']","sn This long and repetitious chapter has several parts to it: the introduction (vv. 1-3), the assigning of gifts (vv. 4-9), the time of presentation (vv. 10-11), and then the tribes (vv. 12-83), and then a summary (vv. 84-89)."
4,"['p1', 'verse', 'v1', 'content']","When Moses had completed setting up the tabernacle,"
5,"['p1', 'verse', 'v1', 'note', 'f']","tn The construction of this line begins with the temporal indicator (traditionally translated “and it came to pass”) and then after the idiomatic “in the day of” (= “when”) uses the Piel infinitive construct from כָּלָה (kalah). The infinitive is governed by the subjective genitive, “Moses,” the formal subject of the clause. The object of the infinitive is the second infinitive, “to set up” (לְהָקִים, lÿhaqim). This infinitive, the Hiphil, serves as the direct object, answering the question of what it was that Moses completed. The entire clause is an adverbial clause of time.
sn This chapter belongs chronologically after Lev 8:11, because Aaron and his sons were not yet made the celebrants and officiants of the new shrine (completed in Exodus). Here then chapters 7-9 are actually earlier than chapters 1-6, and form a supplement by adding information not found in Exodus and Leviticus. The first verse here recapitulates the first act of Moses in consecrating the shrine (Exod 30:23-31)."
6,"['p1', 'verse', 'v1', 'content']","he anointed it and consecrated it and all its furnishings, and he anointed and consecrated the altar and all its utensils."
7,"['p1', 'verse', 'v2', 'label']",2
8,"['p1', 'verse', 'v2', 'content']","Then the leaders of Israel, the heads of their clans,"
9,"['p1', 'verse', 'v2', 'note', 'f']",tn Heb “the house of their fathers.”
10,"['p1', 'verse', 'v2', 'content']",made an offering. They were the leaders of the tribes; they were the ones who had been supervising
11,"['p1', 'verse', 'v2', 'note', 'f']","tn The form is the Qal active participle from the verb “to stand” (עָמַד, ’amad). The form describes these leaders as “the ones standing over [the ones numbered].” The expression, along with the clear indication of the first census in chapter 1, shows that this was a supervisory capacity."
12,"['p1', 'verse', 'v2', 'content']",the numbering.
13,"['p1', 'verse', 'v3', 'label']",3
14,"['p1', 'verse', 'v3', 'content']",They brought
15,"['p1', 'verse', 'v3', 'note', 'f']",tn Heb “and they brought.”
16,"['p1', 'verse', 'v3', 'content']",their offering before the
17,"['p1', 'verse', 'v3', 'sc']",Lord
18,"['p1', 'verse', 'v3', 'content']",", six covered carts"
19,"['p1', 'verse', 'v3', 'note', 'f']","sn For a discussion and drawings, see W. S. McCullough, IDB 1:540. But see also D. J. Wiseman, IBD 1:254."
20,"['p1', 'verse', 'v3', 'content']","and twelve oxen – one cart for every two of the leaders, and an ox for each one; and they presented them in front of the tabernacle."
21,"['s1', 'heading']",The Distribution of the Gifts
22,"['p2', 'verse', 'v4', 'label']",4
23,"['p2', 'verse', 'v4', 'content']",Then the
24,"['p2', 'verse', 'v4', 'sc']",Lord
25,"['p2', 'verse', 'v4', 'content']",spoke to Moses:
26,"['p2', 'verse', 'v5', 'label']",5
27,"['p2', 'verse', 'v5', 'content']",“Receive these gifts
28,"['p2', 'verse', 'v5', 'note', 'f']","tn The object is not in the Hebrew text, but has been supplied."
29,"['p2', 'verse', 'v5', 'content']","from them, that they may be"
30,"['p2', 'verse', 'v5', 'note', 'f']","tn The verb is the perfect tense with vav (ו) consecutive; following the imperative, this could be given an independent volitive translation (“they shall be”), but more fittingly a subordinated translation expressing the purpose of receiving the gifts."
31,"['p2', 'verse', 'v5', 'content']",used in doing the work
32,"['p2', 'verse', 'v5', 'note', 'f']","tn The sentence uses the infinitive construct expressing purpose, followed by its cognate accusative: “[that they may be] for doing the work of” (literally, “serving the service of”)."
33,"['p2', 'verse', 'v5', 'content']","of the tent of meeting; and you must give them to the Levites, to every man"
34,"['p2', 'verse', 'v5', 'note', 'f']","tn The noun אִישׁ (’ish) is in apposition to the word “Levites,” and is to be taken in a distributive sense: “to the Levites, [to each] man according to his service.”"
35,"['p2', 'verse', 'v5', 'content']",as his service requires.”
36,"['p2', 'verse', 'v5', 'note', 'f']","tn The expression כְּפִי (kÿfi) is “according to the mouth of.” Here, it would say “according to the mouth of his service,” which would mean “what his service calls for.”"
37,"['p3', 'verse', 'v6', 'label']",6
38,"['p3', 'verse', 'v6', 'content']",So Moses accepted the carts and the oxen and gave them to the Levites.
39,"['p3', 'verse', 'v7', 'label']",7
40,"['p3', 'verse', 'v7', 'content']","He gave two carts and four oxen to the Gershonites, as their service required;"
