['label']	20
['s', 'heading']	De novo, Paulo visita a Macedônia e a Grécia
['p1', 'content']	 
['p1', 'verse', 'v1', 'label']	1
['p1', 'verse', 'v1', 'content']	Cessado o tumulto, Paulo mandou chamar os discípulos, e, tendo-os confortado, despediu-se, e partiu para a Macedônia.
['p1', 'verse', 'v2', 'label']	2
['p1', 'verse', 'v2', 'content']	Havendo atravessado aquelas terras, fortalecendo os discípulos com muitas exortações, dirigiu-se para a Grécia,
['p1', 'verse', 'v3', 'label']	3
['p1', 'verse', 'v3', 'content']	onde se demorou três meses. Tendo havido uma conspiração por parte dos judeus contra ele, quando estava para embarcar rumo à Síria, determinou voltar pela Macedônia.
['p1', 'verse', 'v4', 'label']	4
['p1', 'verse', 'v4', 'content']	Acompanharam-no [até à Ásia] Sópatro, de Bereia, filho de Pirro, Aristarco e Secundo, de Tessalônica, Gaio, de Derbe, e Timóteo, bem como Tíquico e Trófimo, da Ásia;
['p1', 'verse', 'v5', 'label']	5
['p1', 'verse', 'v5', 'content']	estes nos precederam, esperando-nos em Trôade.
['p1', 'verse', 'v6', 'label']	6
['p1', 'verse', 'v6', 'content']	Depois dos dias dos pães asmos, navegamos de Filipos e, em cinco dias, fomos ter com eles naquele porto, onde passamos uma semana.
['s', 'heading']	Paulo em Trôade
['p2', 'verse', 'v6', 'content']	
['p2', 'verse', 'v7', 'label']	7
['p2', 'verse', 'v7', 'content']	No primeiro dia da semana, estando nós reunidos com o fim de partir o pão, Paulo, que devia seguir viagem no dia imediato, exortava-os e prolongou o discurso até à meia-noite.
['p2', 'verse', 'v8', 'label']	8
['p2', 'verse', 'v8', 'content']	Havia muitas lâmpadas no cenáculo onde estávamos reunidos.
['p2', 'verse', 'v9', 'label']	9
['p2', 'verse', 'v9', 'content']	Um jovem, chamado Êutico, que estava sentado numa janela, adormecendo profundamente durante o prolongado discurso de Paulo, vencido pelo sono, caiu do terceiro andar abaixo e foi levantado morto.
['p2', 'verse', 'v10', 'label']	10
['p2', 'verse', 'v10', 'content']	Descendo, porém, Paulo inclinou-se sobre ele e, abraçando-o, disse: Não vos perturbeis, que a vida nele está.
['p2', 'verse', 'v11', 'label']	11
['p2', 'verse', 'v11', 'content']	Subindo de novo, partiu o pão, e comeu, e ainda lhes falou largamente até ao romper da alva. E, assim, partiu.
['p2', 'verse', 'v12', 'label']	12
['p2', 'verse', 'v12', 'content']	Então, conduziram vivo o rapaz e sentiram-se grandemente confortados.
['s', 'heading']	Paulo embarca em Assôs. Chega a Mileto
['p3', 'verse', 'v12', 'content']	
['p3', 'verse', 'v13', 'label']	13
['p3', 'verse', 'v13', 'content']	Nós, porém, prosseguindo, embarcamos e navegamos para Assôs, onde devíamos receber Paulo, porque assim nos fora determinado, devendo ele ir por terra.
['p3', 'verse', 'v14', 'label']	14
['p3', 'verse', 'v14', 'content']	Quando se reuniu conosco em Assôs, recebemo-lo a bordo e fomos a Mitilene;
['p3', 'verse', 'v15', 'label']	15
['p3', 'verse', 'v15', 'content']	dali, navegando, no dia seguinte, passamos defronte de Quios, no dia imediato, tocamos em Samos e, um dia depois, chegamos a Mileto.
['p3', 'verse', 'v16', 'label']	16
['p3', 'verse', 'v16', 'content']	Porque Paulo já havia determinado não aportar em Éfeso, não querendo demorar-se na Ásia, porquanto se apressava com o intuito de passar o dia de Pentecostes em Jerusalém, caso lhe fosse possível.
['s', 'heading']	Em Mileto, fala aos presbíteros da igreja de Éfeso
['p4', 'verse', 'v16', 'content']	
['p4', 'verse', 'v17', 'label']	17
['p4', 'verse', 'v17', 'content']	De Mileto, mandou a Éfeso chamar os presbíteros da igreja.
['p4', 'verse', 'v18', 'label']	18
['p4', 'verse', 'v18', 'content']	E, quando se encontraram com ele, disse-lhes: Vós bem sabeis como foi que me conduzi entre vós em todo o tempo, desde o primeiro dia em que entrei na Ásia,
['p4', 'verse', 'v19', 'label']	19
['p4', 'verse', 'v19', 'content']	servindo ao Senhor com toda a humildade, lágrimas e provações que, pelas ciladas dos judeus, me sobrevieram,
['p4', 'verse', 'v20', 'label']	20
['p4', 'verse', 'v20', 'content']	jamais deixando de vos anunciar coisa alguma proveitosa e de vo-la ensinar publicamente e também de casa em casa,
['p4', 'verse', 'v21', 'label']	21
['p4', 'verse', 'v21', 'content']	testificando tanto a judeus como a gregos o arrependimento para com Deus e a fé em nosso Senhor Jesus [Cristo].
['p4', 'verse', 'v22', 'label']	22
['p4', 'verse', 'v22', 'content']	E, agora, constrangido em meu espírito, vou para Jerusalém, não sabendo o que ali me acontecerá,
['p4', 'verse', 'v23', 'label']	23
['p4', 'verse', 'v23', 'content']	senão que o Espírito Santo, de cidade em cidade, me assegura que me esperam cadeias e tribulações.
['p4', 'verse', 'v24', 'label']	24
['p4', 'verse', 'v24', 'content']	Porém em nada considero a vida preciosa para mim mesmo, contanto que complete a minha carreira
['p4', 'verse', 'v24', 'note', 'x']	#2Tm 4.7
['p4', 'verse', 'v24', 'content']	e o ministério que recebi do Senhor Jesus para testemunhar o evangelho da graça de Deus.
['p4', 'verse', 'v25', 'label']	25
['p4', 'verse', 'v25', 'content']	Agora, eu sei que todos vós, em cujo meio passei pregando o reino, não vereis mais o meu rosto.
['p4', 'verse', 'v26', 'label']	26
['p4', 'verse', 'v26', 'content']	Portanto, eu vos protesto, no dia de hoje, que estou limpo do sangue de todos;
['p4', 'verse', 'v27', 'label']	27
['p4', 'verse', 'v27', 'content']	porque jamais deixei de vos anunciar todo o desígnio de Deus.
['p4', 'verse', 'v28', 'label']	28
['p4', 'verse', 'v28', 'content']	Atendei por vós e por todo o rebanho sobre o qual o Espírito Santo vos constituiu bispos, para pastoreardes a igreja de Deus, a qual ele comprou com o seu próprio sangue.
['p4', 'verse', 'v29', 'label']	29
['p4', 'verse', 'v29', 'content']	Eu sei que, depois da minha partida, entre vós penetrarão lobos vorazes, que não pouparão o rebanho.
['p4', 'verse', 'v30', 'label']	30
['p4', 'verse', 'v30', 'content']	E que, dentre vós mesmos, se levantarão homens falando coisas pervertidas para arrastar os discípulos atrás deles.
['p4', 'verse', 'v31', 'label']	31
['p4', 'verse', 'v31', 'content']	Portanto, vigiai, lembrando-vos de que, por três anos, noite e dia, não cessei de admoestar, com lágrimas, a cada um.
['p4', 'verse', 'v32', 'label']	32
['p4', 'verse', 'v32', 'content']	Agora, pois, encomendo-vos ao Senhor e à palavra da sua graça, que tem poder para vos edificar e dar herança entre todos os que são santificados.
['p4', 'verse', 'v33', 'label']	33
['p4', 'verse', 'v33', 'content']	De ninguém cobicei prata, nem ouro, nem vestes;
['p4', 'verse', 'v34', 'label']	34
['p4', 'verse', 'v34', 'content']	vós mesmos sabeis que estas mãos serviram para o que me era necessário a mim e aos que estavam comigo.
['p4', 'verse', 'v35', 'label']	35
['p4', 'verse', 'v35', 'content']	Tenho-vos mostrado em tudo que, trabalhando assim, é mister socorrer os necessitados e recordar as palavras do próprio Senhor Jesus:
['p4', 'verse', 'v35', 'wj']	Mais bem-aventurado é dar que receber.
['s', 'heading']	Paulo ora com eles
['p5', 'verse', 'v35', 'content']	
['p5', 'verse', 'v36', 'label']	36
['p5', 'verse', 'v36', 'content']	Tendo dito estas coisas, ajoelhando-se, orou com todos eles.
['p5', 'verse', 'v37', 'label']	37
['p5', 'verse', 'v37', 'content']	Então, houve grande pranto entre todos, e, abraçando afetuosamente a Paulo, o beijavam,
['p5', 'verse', 'v38', 'label']	38
['p5', 'verse', 'v38', 'content']	entristecidos especialmente pela palavra que ele dissera: que não mais veriam o seu rosto. E acompanharam-no até ao navio.
